"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-county-courtyard-netaji-subhash-place-north-delhi-765-sq-ft-spid-J83798184","21500000","43259","497","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/31006/6/620126627M-1752738311814.jpg,https://imagecdn.99acres.com/media1/31006/4/620124155M-1752738319151.jpg,https://imagecdn.99acres.com/media1/31006/4/620124229M-1752738311863.jpg,https://imagecdn.99acres.com/media1/31006/5/620125407M-1752738313609.jpg,https://imagecdn.99acres.com/media1/31006/7/620127191M-1752738313776.jpg,https://imagecdn.99acres.com/media1/31006/5/620125673M-1752738311798.jpg,https://imagecdn.99acres.com/media1/31006/4/620124333M-1752738315691.jpg,https://imagecdn.99acres.com/media1/31006/6/620126841M-1752742964971.jpg,https://imagecdn.99acres.com/media1/31006/7/620127051M-1752738320155.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-county-courtyard-netaji-subhash-place-north-delhi-810-sq-ft-spid-I83796576","22300000","42347","526","Office Space","Netaji Subhash Place, Delhi","RESALE","https://www.99acres.com/universalapp/img/RequestPhotoTopaz.webp"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-380-sq-ft-spid-X83789886","11500000","52272","220","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/31000/9/620009217M-1752716796268.jpg,https://imagecdn.99acres.com/media1/31000/9/620009101M-1752716667617.jpg,https://imagecdn.99acres.com/media1/31000/9/620009093M-1752716667516.jpg,https://imagecdn.99acres.com/media1/31000/9/620009099M-1752716667515.jpg,https://imagecdn.99acres.com/media1/31000/9/620009131M-1752716684343.jpg,https://imagecdn.99acres.com/media1/31000/9/620009133M-1752716684405.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-1150-sq-ft-spid-F83645148","25300000","31625","800","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/30883/0/617660369M-1752180913274.jpg,https://imagecdn.99acres.com/media1/30883/0/617660371M-1752180913081.jpg,https://imagecdn.99acres.com/media1/30883/0/617660381M-1752180913220.jpg,https://imagecdn.99acres.com/media1/30883/0/617660409M-1752180947440.jpg,https://imagecdn.99acres.com/media1/30883/0/617660413M-1752180947456.jpg,https://imagecdn.99acres.com/media1/30883/0/617660415M-1752180947507.jpg,https://imagecdn.99acres.com/media1/30883/0/617660387M-1752180930548.jpg,https://imagecdn.99acres.com/media1/30883/0/617660401M-1752180930451.jpg,https://imagecdn.99acres.com/media1/30883/0/617660405M-1752180930087.jpg"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-county-courtyard-netaji-subhash-place-north-delhi-774-sq-ft-spid-L83565126","21600000","27906","774","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/30813/10/616270249M-1751894847674.jpg,https://imagecdn.99acres.com/media1/30813/10/616270469M-1751894845823.jpg,https://imagecdn.99acres.com/media1/30847/5/616945293M-1752046632618.jpg,https://imagecdn.99acres.com/media1/30813/10/616270311M-1751894847094.jpg,https://imagecdn.99acres.com/media1/30813/10/616270715M-1751894843525.jpg,https://imagecdn.99acres.com/media1/30813/10/616270679M-1751963954838.jpg,https://imagecdn.99acres.com/media1/30847/5/616945149M-1752046626424.jpg,https://imagecdn.99acres.com/media1/30813/10/616270597M-1751894846019.jpg"
"KW Blue Pearl","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Shop","Karol Bagh, Delhi","Ready to move","https://newprojects.99acres.com/projects/kw_group/kw_blue_pearl/images/dyhha2q_1709711624_477874362_med.jpg"
"The Omaxe State","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Shop","Sector 19B Dwarka, Delhi","Under Construction","https://newprojects.99acres.com/projects/omaxe_infratech/the_omaxe_state/images/2ewvpw8_1725013731_515145857_med.jpg"
"Migsun Rohini Central","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Shop","Sector 22 Rohini, Delhi","Under Construction","https://newprojects.99acres.com/projects/yogiraj_promoters_private_limited/yogiraj_migsun_rohini_central/images/uskavjv_1719554476_501090101_med.jpg"
"Omaxe Chandni Chowk","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Shop","Chandni Chowk, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
"Showroom for sale in South Extension 1, Delhi","https://www.99acres.com/showroom-for-sale-in-south-extension-1-south-delhi-2200-sq-ft-spid-S83851326","103000000","68666","1500","Showroom","South Extension 1, Delhi","RESALE","https://imagecdn.99acres.com/media1/31053/15/621075759M-1752919819037.jpg,https://imagecdn.99acres.com/media1/31055/3/621103869T-1752920108575.jpg"
"Showroom for sale in South Extension 1, Delhi","https://www.99acres.com/showroom-for-sale-in-south-extension-1-south-delhi-2200-sq-ft-spid-V83851202","122000000","81333","1500","Showroom","South Extension 1, Delhi","RESALE","https://imagecdn.99acres.com/media1/31053/15/621075653M-1752919820419.jpg,https://imagecdn.99acres.com/media1/31055/3/621103739T-1752920091883.jpg"
"Shop for sale in Sector 3 Rohini, Delhi","https://www.99acres.com/shop-for-sale-in-sector-3-rohini-north-delhi-200-sq-ft-r1-spid-Q77261749","32500000","162500","200","Shop","Sector 3 Rohini, Delhi","RESALE","https://imagecdn.99acres.com/media1/29752/15/595055105O-1747026681884.jpg"
"Ready to move Office Space for sale in Sector 3 Rohini, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pearls-w-mall-sector-3-rohini-north-delhi-830-sq-ft-r4-spid-I67815846","7000000","13108","534","Office Space","Sector 3 Rohini, Delhi","RESALE","https://imagecdn.99acres.com/media1/20586/4/411724094M-1739445753862.jpg"
"Bare shell Office Space for sale in Green Park, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-green-park-south-delhi-414-sq-ft-r1-spid-Q81341199","9000000","21739","414","Office Space","Green Park, Delhi","RESALE","https://static.99acres.com/universalapp/img/roiGray.png"
"Shop for sale in Block 4 Ramesh Nagar, Delhi","https://www.99acres.com/shop-for-sale-in-block-4-ramesh-nagar-west-delhi-301-sq-ft-r2-spid-J80861089","11500000","38157","301","Shop","Block 4 Ramesh Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/28839/15/576795431M-1741705281954.jpg,https://imagecdn.99acres.com/media1/28839/14/576794739M-1741705264162.jpg,https://imagecdn.99acres.com/media1/28839/14/576794733M-1741705261802.jpg"
"Commercial plot / Land for sale in Janakpuri, West Delhi","https://www.99acres.com/commercial-institutional-land-for-sale-in-janakpuri-west-delhi-556-sq-yard-spid-Q83962190","100000000","20000","5000","Commercial plot / Land","Janakpuri, West Delhi","RESALE","https://imagecdn.99acres.com/media1/31137/18/622758251M-1753339075657.jpg,https://imagecdn.99acres.com/media1/31139/5/622785873T-1753341354176.jpg"
"Ready to move Office Space for sale in Moti Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-dlf-towers-moti-nagar-west-delhi-1616-sq-ft-spid-I83223310","42000000","33612","1250","Office Space","Moti Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/30532/10/610650319M-1750678203167.jpg"
"Shop for sale in Sector 10 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-sector-10-dwarka-delhi-593-sq-ft-r1-spid-Z80404163","38400000","64810","592","Shop","Sector 10 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/28558/5/571165951M-1740042840078.jpg,https://imagecdn.99acres.com/media1/28550/0/571000073M-1740028020907.jpg,https://imagecdn.99acres.com/media1/28558/5/571165953M-1740042866394.jpg,https://imagecdn.99acres.com/media1/28550/0/571000077M-1740028024162.jpg"
"Showroom for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/showroom-for-sale-in-pankaj-plaza-sector-12-dwarka-delhi-180-sq-ft-r3-spid-E73248053","18000000","105882","170","Showroom","Sector 12 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/23456/10/469130480M-1753876479553.jpg,https://imagecdn.99acres.com/media1/31291/13/625833945T-1753876746398.jpg"
"Shop for sale in Sector 12 Dwarka, Delhi","","17500000","","495","Shop","Sector 12 Dwarka, Delhi","",""
"Bare shell Office Space for sale in Sector 14 Dwarka, Delhi","","24000000","","475","Office Space","Sector 14 Dwarka, Delhi","",""
"Showroom for sale in Chandni Chowk, Delhi","","3600000","","25","Showroom","Chandni Chowk, Delhi","",""
"Ready to move Office Space for sale in Jasola, Delhi","","22200000","","700","Office Space","Jasola, Delhi","Ready to move",""
"Bare shell Office Space for sale in Uday Park, Delhi","","20000000","","1500","Office Space","Uday Park, Delhi","",""
"Ready to move Office Space for sale in Block A Malviya Nagar, Delhi","","19500000","","1650","Office Space","Block A Malviya Nagar, Delhi","Ready to move",""
"Ready to move Office Space for sale in Block A Malviya Nagar, Delhi","","21000000","","1600","Office Space","Block A Malviya Nagar, Delhi","Ready to move",""
"Showroom for sale in Block A Malviya Nagar, Delhi","","50000000","","1450","Showroom","Block A Malviya Nagar, Delhi","",""
"Ready to move Office Space for sale in Block C, South Extension 2, Delhi","","27500000","","1400","Office Space","Block C, South Extension 2, Delhi","Ready to move",""
"Shop for sale in Lajpat Nagar 2, Delhi","","50000000","","1530","Shop","Lajpat Nagar 2, Delhi","",""
"Commercial property in CR Park, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-cr-park-south-delhi-2250-sq-ft-spid-X81517733","60000000","26666","2250","Commercial property","CR Park, Delhi","RESALE","https://static.99acres.com/universalapp/img/downArrowNew.png"
"Ready to move Office Space for sale in Vikas Marg, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-vikas-marg-east-delhi-900-sq-ft-r2-spid-M77787967","18000000","20000","900","Office Space","Vikas Marg, Delhi","Ready to move","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/26147/19/522959459M-1741163681200.jpg,https://imagecdn.99acres.com/media1/26147/19/522959459M-1741163681200.jpg"
"Bare shell Office Space for sale in Naraina Industrial Area Phase 1, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-naraina-industrial-area-phase-1-west-delhi-5400-sq-ft-r1-spid-Z81469835","80000000","14814","5400","Office Space","Naraina Industrial Area Phase 1, Delhi","",""
"Bare shell Office Space for sale in Naraina Industrial Area Phase 1, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-naraina-industrial-area-phase-1-west-delhi-10800-sq-ft-r9-spid-O71487904","170000000","15740","10800","Office Space","Naraina Industrial Area Phase 1, Delhi","","https://imagecdn.99acres.com/media1/22350/9/447009430M-1741699367354.jpg"
"Bare shell Office Space for sale in Naraina Industrial Area Phase 1, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-naraina-industrial-area-phase-1-west-delhi-10800-sq-ft-r9-spid-V71487288","160000000","14814","10800","Office Space","Naraina Industrial Area Phase 1, Delhi","","https://imagecdn.99acres.com/media1/22350/3/447003078M-1741699395731.jpg"
"Bare shell Office Space for sale in Naraina Industrial Area Phase 1, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-naraina-industrial-area-phase-1-west-delhi-5400-sq-ft-r9-spid-G71487154","75000000","13888","5400","Office Space","Naraina Industrial Area Phase 1, Delhi","","https://imagecdn.99acres.com/media1/22350/1/447001286M-1741699404500.jpg"
"Bare shell Office Space for sale in Naraina Industrial Area Phase 1, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-naraina-industrial-area-phase-1-west-delhi-10800-sq-ft-r9-spid-A71383314","180000000","16666","9000","Office Space","Naraina Industrial Area Phase 1, Delhi","","https://imagecdn.99acres.com/media1/22289/5/445785946M-1741699357100.jpg"
"Bare shell Office Space for sale in Naraina Industrial Area Phase 1, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-naraina-industrial-area-phase-1-west-delhi-5400-sq-ft-r9-spid-X71382974","90000000","16666","4500","Office Space","Naraina Industrial Area Phase 1, Delhi","","https://imagecdn.99acres.com/media1/22289/2/445782780M-1741699372019.jpg"
"Commercial property in East Patel Nagar, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-east-patel-nagar-west-delhi-7200-sq-ft-spid-K84221026","280000000","38889","7200","Commercial property","East Patel Nagar, Delhi","RESALE",""
"Ready to move Office Space for sale in Pusa Road, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pusa-road-central-delhi-3600-sq-ft-spid-S83655416","85000000","23611","3600","Office Space","Pusa Road, Delhi","Ready to move","https://static.99acres.com/universalapp/img/preleasedTagRevamp.png"
"Shop for sale in Mayur Vihar Phase 1, Delhi","https://www.99acres.com/shop-for-sale-in-mayur-vihar-phase-1-east-delhi-1200-sq-ft-spid-B83655152","80000000","66666","1200","Shop","Mayur Vihar Phase 1, Delhi","","https://static.99acres.com/universalapp/img/preleasedTagRevamp.png"
"Shop for sale in Pocket 1,Sector 9 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-pocket-1-sector-9-dwarka-dwarka-delhi-900-sq-ft-spid-W83654874","90000000","100000","900","Shop","Pocket 1,Sector 9 Dwarka, Delhi","","https://static.99acres.com/universalapp/img/preleasedTagRevamp.png"
"Shop for sale in Kamla Nagar, Delhi","https://www.99acres.com/shop-for-sale-in-kamla-nagar-north-delhi-1350-sq-ft-spid-F83654714","110000000","81481","1350","Shop","Kamla Nagar, Delhi","","https://static.99acres.com/universalapp/img/preleasedTagRevamp.png"
"Commercial plot / Land for sale in Block A Defence Colony, Delhi","https://www.99acres.com/commercial-institutional-land-for-sale-in-block-a-defence-colony-south-delhi-217-sq-yard-r3-spid-U79026257","400000000","204813","1953","Commercial plot / Land","Block A Defence Colony, Delhi","RESALE","https://imagecdn.99acres.com/media1/26890/5/537805935M-1739611201026.jpg,https://imagecdn.99acres.com/media1/26890/5/537805935M-1739611201026.jpg"
"Showroom for sale in Block C Defence Colony, Delhi","https://www.99acres.com/showroom-for-sale-in-block-c-defence-colony-south-delhi-2800-sq-ft-r1-spid-B81888514","260000000","92857","2800","Showroom","Block C Defence Colony, Delhi","","https://imagecdn.99acres.com/media1/29513/10/590270389M-1745651235436.jpg,https://imagecdn.99acres.com/media1/29513/10/590270389M-1745651235436.jpg"
"Shop for sale in Rohitash Nagar, Delhi","https://www.99acres.com/shop-for-sale-in-rohitash-nagar-east-delhi-1500-sq-ft-spid-T83461410","52500000","35000","1500","Shop","Rohitash Nagar, Delhi","","https://static.99acres.com/universalapp/img/preleasedTagRevamp.png"
"Factory for sale in Okhla Phase 1, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-10800-sq-ft-spid-A83166074","350000000","32407","10800","Factory","Okhla Phase 1, Delhi","","https://static.99acres.com/universalapp/img/preleasedTagRevamp.png,https://imagecdn.99acres.com/media1/30481/18/609638543M-1750508032866.jpg"
"Factory for sale in Okhla Phase 1, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-5400-sq-ft-spid-E83164574","145000000","26851","5400","Factory","Okhla Phase 1, Delhi","","https://imagecdn.99acres.com/media1/30480/7/609607537M-1750435681225.jpg"
"Bare shell Office Space for sale in Saket District Centre, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-saket-district-centre-south-delhi-22000-sq-ft-spid-V83127258","150000000","6818","22000","Office Space","Saket District Centre, Delhi","",""
"Bare shell Office Space for sale in Okhla Phase 1, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-okhla-phase-1-south-delhi-10000-sq-ft-spid-A83056006","75000000","7500","10000","Office Space","Okhla Phase 1, Delhi","","https://imagecdn.99acres.com/media1/30481/17/609637427M-1750442306069.jpg"
"Bare shell Office Space for sale in Mohan Co-operative Industrial Estate, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-7000-sq-ft-spid-D83013816","140000000","20000","7000","Office Space","Mohan Co-operative Industrial Estate, Delhi","","https://static.99acres.com/universalapp/img/GreenVerified.png,https://imagecdn.99acres.com/media1/30347/8/606948027M-1749891016773.jpg"
"Bare shell Office Space for sale in Okhla Industrial Area, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-okhla-industrial-area-south-delhi-3000-sq-ft-spid-O82631056","42100000","14033","3000","Office Space","Okhla Industrial Area, Delhi","","https://static.99acres.com/universalapp/img/GreenVerified.png,https://imagecdn.99acres.com/media1/30321/6/606426119M-1749738021892.jpg"
"Showroom for sale in Arjun Nagar, Kotla Mubarakpur, Delhi","https://www.99acres.com/showroom-for-sale-in-arjun-nagar-kotla-mubarakpur-south-delhi-1100-sq-ft-r3-spid-K77933013","210000000","210000","1000","Showroom","Arjun Nagar, Kotla Mubarakpur, Delhi","","https://imagecdn.99acres.com/media1/26216/17/524337023M-1739611146381.jpg"
"Shop for sale in Chandni Chowk, Delhi","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-70-sq-ft-r7-spid-M74537909","7000000","175000","40","Shop","Chandni Chowk, Delhi","","https://static.99acres.com/universalapp/img/preleasedTagRevamp.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/24204/12/484092974M-1734678252801.jpg"
"Shop for sale in Shivaji Place, Delhi","https://www.99acres.com/shop-for-sale-in-shivaji-place-west-delhi-1050-sq-ft-r6-spid-S74646577","12500000","23809","525","Shop","Shivaji Place, Delhi","","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/24266/6/485326666M-1743758436527.jpg"
"KW Blue Pearl","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Shop","Karol Bagh, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
"The Omaxe State","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Shop","Sector 19B Dwarka, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Migsun Rohini Central","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Shop","Sector 22 Rohini, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Omaxe Chandni Chowk","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Shop","Chandni Chowk, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
"Office Space for sale in Aerocity, Delhi","","91000000","50555.56","1800","Office Space","Aerocity, Delhi","Ready to move",""
"Showroom for sale in Greater Kailash, Delhi","","320000000","22857.14","14000","Showroom","Greater Kailash, Delhi","",""
"Office Space for sale in Aerocity, Delhi","","105600000","52800","2000","Office Space","Aerocity, Delhi","Ready to move",""
"Office Space for sale in Vasant Kunj, Delhi","","55000000","45833.33","1200","Office Space","Vasant Kunj, Delhi","Ready to move",""
"Office Space for sale in Sector 8 Dwarka, Delhi","","7450000","6772.73","1100","Office Space","Sector 8 Dwarka, Delhi","Ready to move",""
"Office Space for sale in Sector 8 Dwarka, Delhi","","7470000","6790.91","1100","Office Space","Sector 8 Dwarka, Delhi","Ready to move",""
"Office Space for sale in Sector 8 Dwarka, Delhi","","7000000","3888.89","1800","Office Space","Sector 8 Dwarka, Delhi","Ready to move",""
"Office Space for sale in Sector 8 Dwarka, Delhi","","7500000","6787.33","1105","Office Space","Sector 8 Dwarka, Delhi","Ready to move",""
"Office Space for sale in Sector 7 Dwarka, Delhi","","4500000","30000","150","Office Space","Sector 7 Dwarka, Delhi","Ready to move",""
"Shop for sale in Sector 7 Dwarka, Delhi","","13500000","90000","150","Shop","Sector 7 Dwarka, Delhi","",""
"Shop for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-sector-12-dwarka-delhi-605-sq-ft-r8-spid-P62033434","17500000","35353.54","495","Shop","Sector 12 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/31291/11/625831995T-1753876591076.jpg"
"Bare shell Office Space for sale in Sector 14 Dwarka, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-pratham-vegas-mall-sector-14-dwarka-delhi-792-sq-ft-spid-T84108670","24000000","50526.32","475","Office Space","Sector 14 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/31283/12/625672541M-1753863790899.jpg,https://imagecdn.99acres.com/media1/31284/5/625685491T-1753864049368.jpg"
"Showroom for sale in Chandni Chowk, Delhi","https://www.99acres.com/showroom-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-25-sq-ft-spid-N83885486","3600000","144000","25","Showroom","Chandni Chowk, Delhi","RESALE","https://imagecdn.99acres.com/media1/31076/14/621534195M-1753058825344.jpg,https://imagecdn.99acres.com/media1/31076/14/621534191M-1753058825316.jpg,https://imagecdn.99acres.com/media1/31076/14/621534185M-1753058825358.jpg,https://imagecdn.99acres.com/media1/31076/14/621534189M-1753058825467.jpg,https://imagecdn.99acres.com/media1/31076/14/621534193M-1753058825443.jpg,https://imagecdn.99acres.com/media1/31076/14/621534197M-1753058825354.jpg,https://imagecdn.99acres.com/media1/31076/14/621534187M-1753058825293.jpg"
"Ready to move Office Space for sale in Jasola, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-dlf-towers-jasola-south-delhi-1056-sq-ft-r2-spid-Z78470383","22200000","31714.29","700","Office Space","Jasola, Delhi","RESALE","https://www.99acres.com/universalapp/img/RequestPhotoTopaz.webp"
"Bare shell Office Space for sale in Uday Park, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-uday-park-south-delhi-1950-sq-ft-spid-J84206670","20000000","13333.33","1500","Office Space","Uday Park, Delhi","RESALE","https://imagecdn.99acres.com/media1/31385/16/627716443M-1754208965157.jpg,https://imagecdn.99acres.com/media1/31385/16/627716483M-1754208965130.jpg,https://imagecdn.99acres.com/media1/31385/16/627716539M-1754208965006.jpg,https://imagecdn.99acres.com/media1/31385/16/627716725M-1754208964994.jpg,https://imagecdn.99acres.com/media1/31385/16/627716691M-1754208966832.jpg,https://imagecdn.99acres.com/media1/31385/16/627716353M-1754208965099.jpg,https://imagecdn.99acres.com/media1/31385/16/627716619M-1754208965064.jpg,https://imagecdn.99acres.com/media1/31385/16/627716507M-1754208965048.jpg"
"Ready to move Office Space for sale in Block A Malviya Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-a-malviya-nagar-south-delhi-1650-sq-ft-spid-B83574668","19500000","11818.18","1650","Office Space","Block A Malviya Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/30823/11/616471289M-1751954436685.jpg,https://imagecdn.99acres.com/media1/30823/11/616471705M-1751954452097.jpg,https://imagecdn.99acres.com/media1/30823/11/616471473M-1751954445204.jpg,https://imagecdn.99acres.com/media1/30823/12/616472043M-1751954453177.jpg,https://imagecdn.99acres.com/media1/30823/12/616472789M-1751954451262.jpg,https://imagecdn.99acres.com/media1/30823/11/616471881M-1751954448807.jpg,https://imagecdn.99acres.com/media1/30823/13/616473131M-1751954437370.jpg"
"Ready to move Office Space for sale in Block A Malviya Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-a-malviya-nagar-south-delhi-1600-sq-ft-spid-D83557250","21000000","13125","1600","Office Space","Block A Malviya Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/30806/14/616134333M-1751880775983.jpg,https://imagecdn.99acres.com/media1/30806/14/616134899M-1751880776143.jpg,https://imagecdn.99acres.com/media1/30806/15/616135239M-1751880776206.jpg,https://imagecdn.99acres.com/media1/30806/15/616135575M-1751880776165.jpg,https://imagecdn.99acres.com/media1/30806/14/616134661M-1751880776170.jpg,https://imagecdn.99acres.com/media1/30806/14/616134585M-1751880776269.jpg"
