"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Ready to move Office Space for sale in Aerocity, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-aerocity-south-delhi-3000-sq-ft-r37-spid-X33664169","91000000","50555","1800","Office Space","Aerocity, Delhi","RESALE","https://imagecdn.99acres.com/media1/13945/9/278909090M-1738178529598.jpg"
"Showroom for sale in Greater Kailash, Delhi","https://www.99acres.com/showroom-for-sale-in-greater-kailash-south-delhi-15000-sq-ft-spid-Z83501766","320000000","22857","14000","Showroom","Greater Kailash, Delhi","RESALE","https://imagecdn.99acres.com/media1/30766/18/615338497M-1751655530282.jpg"
"Ready to move Office Space for sale in Aerocity, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-aerocity-south-delhi-3300-sq-ft-r11-spid-K67967938","105600000","52800","2000","Office Space","Aerocity, Delhi","RESALE","https://imagecdn.99acres.com/media1/22068/16/441376536M-1738178533412.jpg"
"Ready to move Office Space for sale in Vasant Kunj, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-vasant-kunj-south-delhi-2000-sq-ft-r1-spid-R81828872","55000000","45833","1200","Office Space","Vasant Kunj, Delhi","RESALE","https://imagecdn.99acres.com/media1/29474/8/589488233M-1745435127594.jpg"
"Ready to move Office Space for sale in Sector 8 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-8-dwarka-delhi-1100-sq-ft-r8-spid-A67812398","7450000","6772","1100","Office Space","Sector 8 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/20584/10/411690062M-1748601913568.jpg"
"Ready to move Office Space for sale in Sector 8 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-8-dwarka-delhi-1100-sq-ft-r10-spid-S69193878","7470000","6790","1100","Office Space","Sector 8 Dwarka, Delhi","RESALE","https://www.99acres.com/universalapp/img/RequestPhotoTopaz.webp"
"Ready to move Office Space for sale in Sector 8 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-8-dwarka-delhi-1800-sq-ft-r17-spid-S55480176","7000000","3888","1800","Office Space","Sector 8 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/31032/16/620656111M-1752832224167.jpg"
"Ready to move Office Space for sale in Sector 8 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-8-dwarka-delhi-1105-sq-ft-r5-spid-X67945984","7500000","6787","1105","Office Space","Sector 8 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/31195/12/623912957M-1753525236224.jpg"
"Ready to move Office Space for sale in Sector 7 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-vardhman-star-city-mall-sector-7-dwarka-delhi-221-sq-ft-spid-R83676532","4500000","30000","150","Office Space","Sector 7 Dwarka, Delhi","RESALE","https://www.99acres.com/universalapp/img/RequestPhotoTopaz.webp"
"Shop for sale in Sector 7 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-sector-7-dwarka-delhi-228-sq-ft-spid-E83608980","13500000","90000","150","Shop","Sector 7 Dwarka, Delhi","RESALE","https://www.99acres.com/universalapp/img/RequestPhotoTopaz.webp"
