"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-pocket-a-okhla-phase-1-south-delhi-8100-sq-ft-spid-B83755446","225000000","27778","8100","Pocket A Okhla Phase 1, Delhi, South Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-54-sq-ft-spid-S78734627","8500000","157407","54","Chandni Chowk, Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-bali-nagar-west-delhi-1500-sq-ft-spid-T83623606","13500000","10000","1350","Bali Nagar, Delhi, West Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-8-rohini-north-delhi-900-sq-ft-spid-D80258559","15000000","16666","900","Sector 8 Rohini, Delhi, North Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-rwa-jindal-colony-kapashera-south-delhi-980-sq-ft-spid-D82289166","8000000","8163","980","Kapashera, Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-south-extension-2-south-delhi-220-sq-ft-spid-T82563818","11000000","50000","220","South Extension 2, Delhi, South Delhi","Owner"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-anand-vihar-south-delhi-4000-sq-ft-spid-M79153947","88000000","22000","4000","Anand Vihar, Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-harsh-vihar-east-delhi-5038-sq-ft-spid-Y84154594","100000000","19851","5037","Harsh Vihar, East Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-pp-buildwell-west-end-mall-janakpuri-west-delhi-326-sq-ft-spid-T82739846","7000000","21463","195","Janakpuri, West Delhi","Owner"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-4-dwarka-delhi-350-sq-ft-spid-L83081358","36500000","104285","350","Sector 4 Dwarka, Delhi, Delhi South West","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-motia-khan-central-delhi-382-sq-ft-spid-M83473040","21000000","54973","382","Motia Khan, Delhi, Central Delhi","Owner"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-mundka-west-delhi-333-sq-yard-r2-spid-I60056798","49000000","16333","3000","Mundka, Delhi, West Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-saket-south-delhi-11600-sq-ft-spid-S83550510","260000000","22413","11600","Saket, Delhi, South Delhi","Dealer"
