"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Showroom","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","85400000","","378","Kaccha Bagh Area, Delhi, Delhi",""
"Bare shell Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-panchsheel-park-south-delhi-6000-sq-ft-r5-spid-Y71843244","120000000","20000","6000","Panchsheel Park, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-chandni-chowk-central-delhi-20-sq-ft-r1-spid-M82274586","4800000","240000","20","Chandni Chowk, Delhi, Central Delhi","Dealer"
"Bare shell Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-kailash-colony-south-delhi-5000-sq-ft-spid-X82974372","189000000","37800","5000","Kailash Colony, Delhi, South Delhi","Dealer"
"Bare shell Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-samalka-dwarka-delhi-100000-sq-ft-r19-spid-U46443473","3500000000","35000","70000","Samalka, Delhi, Delhi South West","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-4-rohini-north-delhi-600-sq-ft-spid-D82880754","7000000","12962","540","Sector 4 Rohini, Delhi, North Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-chandni-chowk-central-delhi-40-sq-ft-r1-spid-Q82284752","5200000","130000","40","Chandni Chowk, Delhi, Central Delhi","Owner"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-3600-sq-ft-spid-N84086374","120000000","33333","3600","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-5940-sq-ft-spid-Y83055746","145000000","24411","5940","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-e-kalkaji-south-delhi-1800-sq-ft-spid-V84199922","14000000","7778","1800","Block E Kalkaji, Delhi, South Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-malviya-nagar-south-delhi-850-sq-ft-spid-U80421603","18000000","21176","850","Malviya Nagar, Delhi, South Delhi","Owner"
"Factory","https://www.99acres.com/factory-for-sale-in-jhilmil-industrial-area-delhi-east-3870-sq-ft-spid-M83028648","37500000","9690","3870","Jhilmil Industrial Area, Delhi, East Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-kirti-nagar-industrial-area-west-delhi-3150-sq-ft-spid-J83274936","42500000","13492","3150","Kirti Nagar Industrial Area, Delhi, West Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-aurobindo-marg-south-delhi-650-sq-yard-spid-P82421254","650000000","111111","5850","Aurobindo Marg, Delhi, South Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pitampura-north-delhi-1400-sq-ft-spid-W82855812","20000000","20000","1000","Pitampura, Delhi, North Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-710-sq-ft-spid-V83917756","27000000","38028","710","Connaught Place, Delhi, Central Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-nehru-place-south-delhi-1700-sq-ft-spid-L83271838","67800000","54240","1250","Nehru Place, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-3-rohini-north-delhi-150-sq-ft-r1-spid-Y80452821","8000000","57142","140","Sector 3 Rohini, Delhi, North Delhi","Dealer"
"Warehouse","https://www.99acres.com/warehouse-for-sale-in-mayapuri-west-delhi-1800-sq-ft-spid-S83982188","17000000","9444","1800","Mayapuri, Delhi, West Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-green-park-south-delhi-540-sq-ft-r1-spid-J78007919","10800000","24000","450","Green Park, Delhi, South Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-paschim-vihar-west-delhi-1450-sq-ft-r2-spid-V79167561","25000000","18518","1350","Paschim Vihar, Delhi, West Delhi","Dealer"
"Industrial land / Plot","https://www.99acres.com/industrial-land-plot-for-sale-in-mundka-industrial-area-west-delhi-1058-sq-yard-spid-E83948870","37000000","3888","9522","Mundka Industrial Area, Delhi, West Delhi","Dealer"
"Industrial land / Plot","https://www.99acres.com/industrial-land-plot-for-sale-in-mundka-industrial-area-west-delhi-1008-sq-yard-spid-H83948046","35300000","3888","9072","Mundka Industrial Area, Delhi, West Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-rwa-greater-kailash-2-greater-kailash-2-south-delhi-2550-sq-ft-spid-U83347370","88000","35","2450","Greater Kailash 2, Delhi, Delhi","Dealer"
"Ready to move Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-6-dwarka-delhi-1200-sq-ft-spid-C83048592","22500000","18750","1200","Sector 6 Dwarka, Delhi, Delhi South West","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-nirman-vihar-east-delhi-3330-sq-ft-spid-V83849036","62500000","18769","3330","Nirman Vihar, Delhi, East Delhi","Dealer"
"Shop","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Karol Bagh, Delhi, Delhi",""
"Shop","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Sector 19B Dwarka, Delhi, Delhi",""
"Shop","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Sector 22 Rohini, Delhi, Delhi",""
"Shop","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Chandni Chowk, Delhi, Delhi",""
"Office Space","","120000000","20000","6000","Panchsheel Park, Delhi",""
"Shop","","4800000","240000","20","Chandni Chowk, Delhi",""
"Office Space","","189000000","37800","5000","Kailash Colony, Delhi",""
"Office Space","","3500000000","50000","70000","Samalka, Delhi",""
"Office Space","","7000000","12963","540","Sector 4 Rohini, Delhi",""
"Shop","","5200000","130000","40","Chandni Chowk, Delhi",""
"Factory","","120000000","33333","3600","Okhla Phase 2, Delhi",""
"Factory","","145000000","24410","5940","Mohan Co-operative Industrial Estate, Delhi",""
"Office Space","","14000000","7778","1800","Block E Kalkaji, Delhi",""
"Showroom","","18000000","21176","850","Malviya Nagar, Delhi",""
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-rajouri-garden-west-delhi-4500-sq-ft-spid-T83518880","27500000","6111","4500","Rajouri garden, Delhi, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-nehru-place-south-delhi-560-sq-ft-spid-A83777642","8400000","18666","450","Nehru Place, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-510-sq-ft-r2-spid-H77222301","21000000","41176","510","Netaji Subhash Place, Delhi, North Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-pocket-40-c-r-park-south-delhi-1440-sq-ft-r6-spid-T70558718","21000000","14583","1100","Pocket 40 C R Park, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-485-sq-ft-spid-S83998600","12100000","35973","335","Netaji Subhash Place, Delhi, North Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-5-rohini-north-delhi-65-sq-ft-r1-spid-K80371999","2300000","41071","56","Sector 5 Rohini, Delhi, North Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-pratham-vegas-mall-sector-14-dwarka-delhi-2000-sq-ft-spid-K82338496","90000000","75000","1200","Sector 14 Dwarka, Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-21600-sq-ft-r2-spid-A76041689","450000000","20833","21600","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-6000-sq-ft-r2-spid-Z75185333","60000000","10000","6000","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-rama-road-west-delhi-2700-sq-ft-spid-N83331836","110000000","40741","2700","Rama Road, Delhi, West Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-mayapuri-west-delhi-5400-sq-ft-spid-E83331818","180000000","33333","5400","Mayapuri, Delhi, West Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-mayapuri-west-delhi-5400-sq-ft-spid-T83265898","210000000","38889","5400","Mayapuri, Delhi, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-dlf-towers-moti-nagar-west-delhi-1410-sq-ft-spid-E83850914","35400000","25100","1410","Moti Nagar, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-1000-sq-ft-spid-F82970378","20000000","28985","690","Netaji Subhash Place, Delhi, North Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mayapuri-industrial-area-phase-2-west-delhi-1350-sq-ft-r2-spid-R76103983","12000000","8888","1350","Mayapuri Industrial Area Phase 2, Delhi, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-acharya-niketan-mayur-vihar-phase-1-east-delhi-2200-sq-ft-spid-M82169480","31000000","14090","2200","Mayur Vihar Phase 1, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-m2k-pitampura-pitampura-north-delhi-1300-sq-ft-r1-spid-O81379695","22500000","26470","850","Pitampura, Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-okhla-phase-1-south-delhi-3200-sq-ft-spid-F83658912","35000000","10937","3200","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-block-a-sector-12-dwarka-dwarka-delhi-3150-sq-ft-spid-U83559704","195000000","54167","2700","Block A Sector-12 Dwarka, Delhi, Delhi South West","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-unity-aggarwal-corporate-heights-netaji-subhash-place-north-delhi-1150-sq-ft-spid-B83594120","23000000","20000","805","Netaji Subhash Place, Delhi, North Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-greater-kailash-2-south-delhi-1629-sq-ft-r19-spid-U36530831","360000000","200000","1620","Greater Kailash 2, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-40410-sq-ft-spid-J84132578","1200000000","29696","40410","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-kasturba-gandhi-marg-central-delhi-4400-sq-yard-spid-L83839158","4250000000","107323","39600","Kasturba Gandhi Marg, Delhi, Central Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-hamdard-nagar-delhi-south-600-sq-yard-spid-I83837766","179000000","33148","5400","Hamdard Nagar, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-defence-colony-south-delhi-3000-sq-ft-spid-E82548784","168000000","80000","2100","Defence Colony, South Delhi","Dealer"
"Office Space","","27500000","6111","4500","Rajouri garden, Delhi",""
"Office Space","","8400000","18666","450","Nehru Place, Delhi",""
"Office Space","","21000000","41176","510","Netaji Subhash Place, Delhi",""
"Office Space","","21000000","14583","1100","Pocket 40 C R Park, Delhi",""
"Office Space","","12100000","35973","335","Netaji Subhash Place, Delhi",""
"Shop","","2300000","41071","56","Sector 5 Rohini, Delhi",""
"Shop","","90000000","75000","1200","Sector 14 Dwarka, Delhi",""
"Factory","","450000000","20833","21600","Okhla Phase 1, Delhi",""
"Factory","","60000000","10000","6000","Okhla Phase 1, Delhi",""
"Factory","","110000000","40741","2700","Rama Road, Delhi",""
"Shop","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Karol Bagh, Delhi",""
"Shop","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Sector 19B Dwarka, Delhi",""
"Shop","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Sector 22 Rohini, Delhi",""
"Shop","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Chandni Chowk, Delhi",""
