"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-7-dwarka-delhi-228-sq-ft-spid-B83978410","7600000","50666","150","Sector 7 Dwarka, Delhi, Delhi South West","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-vardhman-star-city-mall-sector-7-dwarka-delhi-228-sq-ft-spid-V83657366","7800000","52000","150","Sector 7 Dwarka, Delhi, Delhi South West","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-county-courtyard-netaji-subhash-place-north-delhi-810-sq-ft-spid-C83594078","22000000","40665","541","Netaji Subhash Place, Delhi, North Delhi","Dealer"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-m2k-pitampura-pitampura-north-delhi-5500-sq-ft-spid-M82870956","120000000","21818","3300","Pitampura, Delhi, North Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-lajpat-nagar-2-south-delhi-100-sq-ft-spid-V83990872","25000000","250000","100","Lajpat Nagar 2, Delhi, South Delhi","FEATURED DEALER"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-100-sq-ft-spid-Z83413742","8800000","88000","100","Sector 19B Dwarka, Delhi, Delhi South West","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-3-south-delhi-30000-sq-ft-r2-spid-J75210151","300000000","10000","30000","Okhla Phase 3, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-66-sq-ft-spid-F83273704","10900000","165000","65","Chandni Chowk, Delhi, Central Delhi","FEATURED DEALER"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-68-sq-ft-spid-U83273540","11200000","165000","65","Chandni Chowk, Delhi, Central Delhi","FEATURED DEALER"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-248-sq-ft-spid-S83273396","40900000","165000","130","Chandni Chowk, Delhi, Central Delhi","FEATURED DEALER"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-294-sq-ft-spid-U83273242","48500000","165000","150","Chandni Chowk, Delhi, Central Delhi","FEATURED DEALER"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-372-sq-ft-spid-Q83269974","61400000","165000","190","Chandni Chowk, Delhi, Central Delhi","FEATURED DEALER"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-402-sq-ft-spid-X83269772","66300000","165000","205","Chandni Chowk, Delhi, Central Delhi","FEATURED DEALER"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-939-sq-ft-spid-C83225348","140900000","150000","470","Chandni Chowk, Delhi, Central Delhi","FEATURED DEALER"
"Office Space","","426000000","","32000","West Shalimar Bagh, Delhi",""
"Commercial plot / Land","","150000000","","2700","raja garden chowk, Delhi South West",""
"Office Space","","85000000","","1953","Block A Defence Colony, Delhi",""
"Showroom","","248000000","","2000","Khan Market, Delhi",""
"Office Space","","350000000","","10000","Saket, Delhi",""
"Office Space","","410000000","","9000","Nehru Place, Delhi",""
"Showroom","","400000000","","9000","Block M Greater Kailash 2, Delhi",""
"Office Space","","300000000","","5220","Okhla Phase 3, Delhi",""
"Office Space","","590000000","","54000","Okhla Phase 3, Delhi",""
"Office Space","","76600000","","3050","Moti Nagar, Delhi",""
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-84-sq-ft-spid-B83224812","12600000","150000","83","Chandni Chowk, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-48-sq-ft-spid-X83224110","7200000","150000","45","Chandni Chowk, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-54-sq-ft-spid-M83156488","8100000","150000","45","Chandni Chowk, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-central-delhi-276-sq-ft-spid-E83153970","55200000","200000","150","LOCKABLE SHOPS GROUND FLOOR, Central Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-dsidc-industrial-area-north-delhi-3763-sq-ft-spid-Q81671766","70000000","18581","3767","DSIDC Industrial Area, Narela, Delhi, North Delhi","Owner"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-tdi-centre-jasola-south-delhi-7200-sq-ft-spid-P83491424","136000000","18888","7200","Jasola, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-south-delhi-247-sq-ft-spid-M81367815","14000000","56680","247","SECTOR D POCKET 1 VASANT KUNJ, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-kailash-colony-south-delhi-5000-sq-ft-spid-O82974200","210000000","42000","5000","Kailash Colony, Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-63-sq-ft-spid-N83156222","9450000","150000","50","Chandni Chowk, Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-vikas-marg-east-delhi-1215-sq-ft-r3-spid-E74506317","115000000","94650","1215","Vikas Marg, Delhi, East Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-laxmi-nagar-east-delhi-1125-sq-ft-r3-spid-Z77424025","100000000","88889","1125","Laxmi Nagar, Delhi, East Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-c-r-park-rwa-cr-park-south-delhi-500-sq-ft-spid-I81824164","11000000","22000","500","CR Park, Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-gagan-vihar-east-delhi-3420-sq-ft-r5-spid-Q74355143","160000000","46784","3420","Gagan Vihar, Delhi, East Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-defence-enclave-east-delhi-3150-sq-ft-r2-spid-N76814045","320000000","101587","3150","Defence Enclave, Delhi, East Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-priya-enclave-delhi-east-1440-sq-ft-r3-spid-M71820684","120000000","83333","1440","Priya Enclave, Delhi, East Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-vikas-marg-east-delhi-1440-sq-ft-r2-spid-L75782575","75000000","52083","1440","Vikas Marg, Delhi, East Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-lajpat-nagar-2-south-delhi-1800-sq-ft-spid-L83122416","240000000","133333","1800","Lajpat Nagar 2, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-3600-sq-ft-spid-N84086728","100000000","27777","3600","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-11000-sq-ft-spid-Y84086620","350000000","31818","11000","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-5400-sq-ft-spid-Y84086526","150000000","27777","5400","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-3600-sq-ft-spid-M84086432","130000000","36111","3600","Okhla Phase 2, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-60000-sq-ft-spid-G82932846","450000000","7500","60000","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-1080-sq-ft-spid-R83318132","350000000","324074","1080","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Factory","https://www.99acres.com/factory-for-sale-in-okhla-phase-1-south-delhi-6300-sq-ft-spid-W83150594","210000000","33333","6300","Okhla Phase 1, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-okhla-industrial-area-south-delhi-3000-sq-ft-spid-P82631386","42500000","14166","3000","Okhla Industrial Area, Delhi, South Delhi","Dealer"
"Shop","","12600000","","83","Chandni Chowk, Delhi",""
"Shop","","7200000","","45","Chandni Chowk, Delhi",""
"Shop","","8100000","","45","Chandni Chowk, Delhi",""
"Shop","","55200000","","150","LOCKABLE SHOPS GROUND FLOOR, Central Delhi",""
"Factory","","70000000","","3767","DSIDC Industrial Area, Narela, Delhi",""
"Office Space","","136000000","","7200","Jasola, Delhi",""
"Shop","","14000000","","247","SECTOR D POCKET 1 VASANT KUNJ, South Delhi",""
"Office Space","","210000000","","5000","Kailash Colony, Delhi",""
"Shop","","9450000","","50","Chandni Chowk, Delhi",""
"Showroom","","115000000","","1215","Vikas Marg, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","12600000","151807","83","Chandni Chowk, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","7200000","160000","45","Chandni Chowk, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","8100000","180000","45","Chandni Chowk, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","55200000","368000","150","LOCKABLE SHOPS GROUND FLOOR, Central Delhi",""
"Factory","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","70000000","1858","3767","DSIDC Industrial Area, Narela, Delhi",""
"Office Space","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","136000000","18888","7200","Jasola, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","14000000","56680","247","SECTOR D POCKET 1 VASANT KUNJ, South Delhi",""
"Office Space","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","210000000","42000","5000","Kailash Colony, Delhi",""
"Shop","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","9450000","189000","50","Chandni Chowk, Delhi",""
"Showroom","https://www.99acres.com/search/property/buy/delhi?city=1075722&keyword=Delhi&preference=S&area_unit=1&budget_min=0&res_com=C&isPreLeased=N","115000000","94625","1215","Vikas Marg, Delhi",""
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-cr-park-south-delhi-2700-sq-ft-spid-Z82947768","120000000","44444","2700","CR Park, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-380-sq-ft-r5-spid-M75918657","45000000","118421","380","Sector 19B Dwarka, Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-2000-sq-yard-spid-H82892534","250000000","13889","18000","Mohan Co-operative Industrial Estate, Delhi, South Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-450-sq-ft-r5-spid-R75918349","30000000","66666","250","Sector 19B Dwarka, Delhi","Dealer"
"Office Space","https://www.99acres.com/bare-shell-office-space-for-sale-in-okhla-industrial-area-south-delhi-3000-sq-ft-spid-N82630978","42200000","14066","3000","Okhla Industrial Area, Delhi, South Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-preet-vihar-east-delhi-3240-sq-ft-r1-spid-W81332173","55000000","16975","3240","Preet Vihar, Delhi, East Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-greater-kailash-2-south-delhi-2250-sq-ft-spid-T83551490","97500000","43333","2250","Greater Kailash 2, Delhi, South Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-sultanpur-south-delhi-1200-sq-yard-r1-spid-D77796971","300000000","27778","10800","Sultanpur, Delhi, South Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-sector-10-dwarka-delhi-400-sq-yard-r2-spid-V79257529","600000000","166667","3600","Sector 10 Dwarka, Delhi, Delhi South West","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-paschim-vihar-west-delhi-3330-sq-ft-r2-spid-F79167605","70000000","21021","3000","Paschim Vihar, Delhi, West Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-528-sq-ft-spid-D83969206","11600000","31868","364","Netaji Subhash Place, Delhi, North Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-guru-harkishan-nagar-west-delhi-2500-sq-ft-r2-spid-D80671277","70000000","28000","2500","Guru Harkishan Nagar, Delhi, West Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-green-park-south-delhi-638-sq-yard-r1-spid-U82176858","735000000","128004","5742","Green Park, Delhi, South Delhi","Dealer"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-vasant-kunj-south-delhi-7560-sq-ft-r1-spid-J82175696","400000000","52910","7560","Vasant Kunj, Delhi, South Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-green-park-south-delhi-578-sq-yard-r1-spid-O82177122","650000000","124952","5202","Green Park, Delhi, South Delhi","Dealer"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-saket-south-delhi-1125-sq-ft-r1-spid-F82175252","230000000","204444","1125","Saket, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-south-extension-2-south-delhi-210-sq-ft-spid-E83017612","8500000","44736","190","South Extension 2, Delhi, South Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-250-sq-ft-r1-spid-W76556065","28100000","225000","125","Chandni Chowk, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-430-sq-ft-spid-P83956412","9000000","30000","300","Netaji Subhash Place, Delhi, North Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-block-a-sector-12-dwarka-dwarka-delhi-520-sq-ft-spid-P83885792","32000000","61538","520","Block A Sector-12 Dwarka, Delhi, Delhi South West","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-malik-plaza-sector-12-dwarka-delhi-1200-sq-ft-spid-F83310252","27500000","22916","1200","Sector 12 Dwarka, Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-west-shalimar-bagh-rwa-west-shalimar-bagh-north-delhi-151-sq-ft-spid-X82951490","13000000","86092","151","West Shalimar Bagh, Delhi","Dealer"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-block-a-hauz-khas-south-delhi-2448-sq-ft-spid-D83883174","26000000","10621","2448","Block A Hauz Khas, Delhi, South Delhi","Dealer"
"Commercial property","https://www.99acres.com/other-commercial-property-for-sale-in-block-a-hauz-khas-south-delhi-3150-sq-ft-spid-F83882994","32000000","10159","3150","Block A Hauz Khas, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-2-south-delhi-2200-sq-ft-spid-Z83729870","40000000","18181","2200","Okhla Phase 2, Delhi, South Delhi","Dealer"
