"Property Type","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Location","Posted By"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-west-shalimar-bagh-north-delhi-42600-sq-ft-spid-T82764340","426000000","13312","32000","West Shalimar Bagh, Delhi, North Delhi","Dealer"
"Commercial plot / Land","https://www.99acres.com/commercial-institutional-land-for-sale-in-delhi-south-west-300-sq-yard-spid-E83504410","150000000","55556","2700","raja garden chowk, Delhi South West","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-block-a-defence-colony-south-delhi-1953-sq-ft-spid-P82915970","85000000","43523","1953","Block A Defence Colony, Delhi, South Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-khan-market-south-delhi-2100-sq-ft-spid-P84051660","248000000","124000","2000","Khan Market, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-dlf-the-south-court-saket-south-delhi-10500-sq-ft-r1-spid-V82379864","350000000","35000","10000","Saket, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-eros-corporate-tower-nehru-place-south-delhi-10000-sq-ft-r1-spid-T82378160","410000000","45555","9000","Nehru Place, Delhi, South Delhi","Dealer"
"Showroom","https://www.99acres.com/showroom-for-sale-in-rwa-greater-kailash-2-block-m-greater-kailash-2-south-delhi-9200-sq-ft-r1-spid-C82380358","400000000","44444","9000","Block M Greater Kailash 2, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-3-south-delhi-5400-sq-ft-r1-spid-F82513368","300000000","55556","5220","Okhla Phase 3, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-3-south-delhi-55000-sq-ft-r1-spid-V82512590","590000000","10925","54000","Okhla Phase 3, Delhi, South Delhi","Dealer"
"Office Space","https://www.99acres.com/ready-to-move-office-space-for-sale-in-dlf-towers-moti-nagar-west-delhi-3050-sq-ft-spid-E83851160","76600000","25100","3050","Moti Nagar, Delhi, North Delhi","Dealer"
"Shop","https://www.99acres.com/shop-for-sale-in-sector-19b-dwarka-delhi-50-sq-ft-spid-K83125462","3875000","77500","25","Sector 19B Dwarka, Delhi, Delhi South West","FEATURED DEALER"
