"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-575-sq-ft-spid-A83239326","10900000","27455","397","Office Space","Netaji Subhash Place, Delhi","RESALE","https://imagecdn.99acres.com/media1/30553/6/611066593M-1750759245577.jpg,https://imagecdn.99acres.com/media1/30553/6/611066127M-1750759242150.jpg,https://imagecdn.99acres.com/media1/30553/6/611066159M-1750759220305.jpg,https://imagecdn.99acres.com/media1/30553/6/611066307M-1750759232536.jpg,https://imagecdn.99acres.com/media1/30553/6/611066385M-1750759229002.jpg,https://imagecdn.99acres.com/media1/30553/5/611065871M-1750759265002.jpg,https://imagecdn.99acres.com/media1/30553/6/611066527M-1750759226351.jpg,https://imagecdn.99acres.com/media1/30553/6/611066503M-1750759228000.jpg,https://imagecdn.99acres.com/media1/30553/6/611066773M-1750759243338.jpg,https://imagecdn.99acres.com/media1/30553/6/611066701M-1750759224960.jpg,https://imagecdn.99acres.com/media1/30553/6/611066693M-1750759266200.jpg"
"Ready to move Office Space for sale in Sector 14 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pratham-vegas-mall-sector-14-dwarka-delhi-1590-sq-ft-spid-F82528692","46000000","48421","950","Office Space","Sector 14 Dwarka, Delhi","RESALE","https://imagecdn.99acres.com/media1/29940/6/598806983M-1747995226275.jpg"
"Commercial plot / Land for sale in Block D Krishna Nagar, Delhi","https://www.99acres.com/commercial-institutional-land-for-sale-in-block-d-krishna-nagar-east-delhi-233-sq-yard-spid-I82979198","230000000","109680","2097","Commercial plot / Land","Block D Krishna Nagar, Delhi","RESALE",""
"Ready to move Office Space for sale in Moti Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-dlf-towers-moti-nagar-west-delhi-1616-sq-ft-spid-T83807938","42500000","34000","1250","Office Space","Moti Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/31014/7/620287667M-1752751788632.jpg"
"Ready to move Office Space for sale in Moti Nagar, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-moti-nagar-west-delhi-745-sq-ft-spid-A83798126","19300000","39876","484","Office Space","Moti Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/31005/8/620108551M-1752738224151.jpg"
"Shop for sale in Block 4 Ramesh Nagar, Delhi","https://www.99acres.com/shop-for-sale-in-block-4-ramesh-nagar-west-delhi-300-sq-ft-r1-spid-E81737864","11000000","36666","300","Shop","Block 4 Ramesh Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/29414/12/588292531M-1745068445868.jpg,https://imagecdn.99acres.com/media1/29414/12/588292537M-1745068144869.jpg"
"Shop for sale in Paschim Vihar, Delhi","https://www.99acres.com/shop-for-sale-in-paschim-vihar-west-delhi-2178-sq-ft-r15-spid-B58716830","40000000","18365","2178","Shop","Paschim Vihar, Delhi","RESALE","https://imagecdn.99acres.com/media1/16061/5/321225355M-1741599183164.jpg"
"Commercial property in Derawal Nagar, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-derawal-nagar-north-delhi-268-sq-ft-spid-A81578331","60000000","223880","250","Commercial property","Derawal Nagar, Delhi","RESALE","https://imagecdn.99acres.com/media1/29300/12/586012507M-1744442002860.jpg"
"Commercial property in Vasant Vihar, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-vasant-vihar-south-delhi-2100-sq-ft-spid-W84129972","25500000","12142","2100","Commercial property","Vasant Vihar, Delhi","RESALE","https://imagecdn.99acres.com/media1/31305/11/626111183M-1753945436828.jpg"
"Commercial property in Sarvpriya Vihar, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-sarvpriya-vihar-south-delhi-1800-sq-ft-spid-T83504194","20000000","11111","1800","Commercial property","Sarvpriya Vihar, Delhi","RESALE","https://imagecdn.99acres.com/media1/30768/6/615366469M-1751688052337.jpg"
