"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Location","Property Status","Highlights"
"Factory for sale in Okhla Phase 2, Delhi","https://www.99acres.com/factory-for-sale-in-okhla-phase-2-south-delhi-3600-sq-ft-r2-spid-X81173129","95000000","26389","3600","Factory","Okhla Phase 2, Delhi","RESALE","https://imagecdn.99acres.com/media1/29033/14/580674371M-1742980878247.jpg,https://imagecdn.99acres.com/media1/31403/14/628074939T-1754291340586.jpg"
"Factory for sale in Mohan Co-operative Industrial Estate, Delhi","https://www.99acres.com/factory-for-sale-in-mohan-co-operative-industrial-estate-south-delhi-5940-sq-ft-r2-spid-E79918619","150000000","25252","5940","Factory","Mohan Co-operative Industrial Estate, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/28270/13/565413965M-1738218830744.jpg"
"Shop for sale in South Extension 1, Delhi","https://www.99acres.com/shop-for-sale-in-south-extension-1-south-delhi-225-sq-ft-spid-M83999288","120000000","533333","225","Shop","South Extension 1, Delhi","RESALE",""
"Ready to move Office Space for sale in Lajpat Nagar 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-lajpat-nagar-2-south-delhi-1080-sq-ft-spid-J83996474","15000000","13889","1080","Office Space","Lajpat Nagar 2, Delhi","RESALE",""
"Showroom for sale in East of Kailash, Delhi","https://www.99acres.com/showroom-for-sale-in-east-of-kailash-south-delhi-3240-sq-ft-spid-B83972596","330000000","101852","3240","Showroom","East of Kailash, Delhi","RESALE",""
"Ready to move Office Space for sale in Defence Colony, South Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-defence-colony-south-delhi-7803-sq-ft-spid-R83971462","250000000","32039","7803","Office Space","Defence Colony, South Delhi","RESALE",""
"Ready to move Office Space for sale in Defence Colony, South Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-defence-colony-south-delhi-3240-sq-ft-spid-J83125386","250000000","69271","3240","Office Space","Defence Colony, South Delhi","RESALE",""
"Ready to move Office Space for sale in Defence Colony, South Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-defence-colony-south-delhi-3240-sq-ft-spid-A83125116","250000000","77160","3240","Office Space","Defence Colony, South Delhi","RESALE",""
"Ready to move Office Space for sale in Defence Colony, South Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-defence-colony-south-delhi-3600-sq-ft-spid-T83124982","250000000","69444","3600","Office Space","Defence Colony, South Delhi","RESALE",""
"Bare shell Office Space for sale in Green Park, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-green-park-south-delhi-5940-sq-ft-spid-B83121828","350000000","58922","5940","Office Space","Green Park, Delhi","RESALE",""
"Commercial property in Kalkaji, Delhi","https://www.99acres.com/other-commercial-property-for-sale-in-kalkaji-south-delhi-900-sq-ft-spid-C83097576","55000000","61111","900","Commercial property","Kalkaji, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png"
"Bare shell Office Space for sale in Hauz Khas, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-hauz-khas-south-delhi-1863-sq-ft-spid-C83013908","75000000","40257","1863","Office Space","Hauz Khas, Delhi","RESALE",""
"Showroom for sale in Hauz Khas, Delhi","https://www.99acres.com/showroom-for-sale-in-hauz-khas-south-delhi-1863-sq-ft-spid-H83011046","260000000","139559","1863","Showroom","Hauz Khas, Delhi","RESALE",""
"Bare shell Office Space for sale in Hauz Khas, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-hauz-khas-south-delhi-1863-sq-ft-spid-A82974392","75000000","40257","1863","Office Space","Hauz Khas, Delhi","RESALE",""
"Bare shell Office Space for sale in Hauz Khas, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-hauz-khas-south-delhi-1863-sq-ft-spid-G82973902","135000000","72463","1863","Office Space","Hauz Khas, Delhi","RESALE",""
"Ready to move Office Space for sale in Okhla Phase 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-2-south-delhi-20000-sq-ft-spid-L82968410","175000000","8750","20000","Office Space","Okhla Phase 2, Delhi","RESALE","https://www.99acres.com/universalapp/img/voulmeOff.png,https://static.99acres.com/universalapp/img/toapzImage.png,https://imagecdn.99acres.com/media1/30314/14/606294417M-1749722616296.jpg"
"Ready to move Office Space for sale in Lajpat Nagar 4, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-lajpat-nagar-4-south-delhi-6525-sq-ft-spid-G82804436","150000000","22988","6525","Office Space","Lajpat Nagar 4, Delhi","RESALE","https://imagecdn.99acres.com/media1/30198/15/603975293M-1749115727305.jpg,https://imagecdn.99acres.com/media1/30198/19/603979669T-1749116183909.jpg"
"Ready to move Office Space for sale in Okhla Phase 3, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-okhla-phase-3-south-delhi-742-sq-ft-spid-U82803952","110000000","148247","742","Office Space","Okhla Phase 3, Delhi","RESALE","https://imagecdn.99acres.com/media1/30198/15/603975443M-1749115740055.jpg,https://imagecdn.99acres.com/media1/30198/19/603979797T-1749116167500.jpg"
"Shop for sale in South Extension 1, Delhi","","120000000","533333","225","Shop","South Extension 1, Delhi","",""
"KW Blue Pearl","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Shop","Karol Bagh, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
"The Omaxe State","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Shop","Sector 19B Dwarka, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Migsun Rohini Central","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Shop","Sector 22 Rohini, Delhi","Under Construction","https://static.99acres.com/universalapp/img/defaultProj.png"
"Omaxe Chandni Chowk","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Shop","Chandni Chowk, Delhi","Ready to move","https://static.99acres.com/universalapp/img/defaultProj.png"
