area_type,prop_type,transaction,location,Super Area,Status,Property Age,Zoning,Carpet Area,Washroom,Parking,Pantry,Overlooking,Floor,Entrance,Furnishing Status,Plot Area,Plot (L X B),Facing,Available From,Width of Road,Open Sides,ParkingRatio,Water Availability,Hospital,Seats,price_std,area_std,location_cleaned,latitude,longitude
Super Area,shop,sale,"uttam nagar east, uttam nagar new delhi",89 sqyrd,Ready to Move,5 to 10 years old,,,,,,,Ground out of 4,,Semi-Furnished,,,,,,,,,,,40000000.0,801.0,uttam nagar new delhi,28.6088003,77.0673956
Carpet Area,shop,sale,"adore happy homes grand, sector 85 faridabad",,Ready to Move,Less than 5 years old,,290 sqft,,,,,1 out of 4,,Unfurnished,,,East,,,,,,,,6000000.0,290.0,sector 85 faridabad,28.31551,77.3011467
Carpet Area,shop,sale,"adore happy homes grand, sector 85 faridabad",,Ready to Move,5 to 10 years old,,535 sqft,,,,,Ground out of 2,,Semi-Furnished,,,West,,,,,,,,6500000.0,535.0,sector 85 faridabad,28.31551,77.3011467
Super Area,shop,sale,yamuna expressway greater noida,235 sqft,,,,,,,,,Ground out of 4,,Unfurnished,,,,,,,,,,,8700000.0,235.0,yamuna expressway greater noida,28.406404,77.520785
Carpet Area,shop,sale,"ace divino, noida extension noida",,Ready to Move,New Construction,,612 sqft,,,,,Ground out of 1,,Unfurnished,,,,,,,,,,,34400000.0,612.0,noida extension noida,28.5706333,77.3272147
Super Area,shop,sale,sector-4 greater noida,151 sqft,,,,,,,,,2 out of 14,,Semi-Furnished,,,,,,,,,,,3000000.0,151.0,sector-4 greater noida,28.4707522,77.5319152
Super Area,shop,sale,"prateek grand city, siddharth vihar ghaziabad",746 sqft,Ready to Move,New Construction,,,,,,,1 out of 2,,Unfurnished,,,,,,,,,,,16500000.0,746.0,siddharth vihar ghaziabad,28.6405415,77.4112571
Carpet Area,office space,sale,noida extension greater noida,,Ready to Move,,,128 sqft,1,1 Covered,,Garden/Park,,,,,,East,,,,,,,,3200000.0,128.0,noida extension greater noida,28.5706333,77.3272147
Carpet Area,shop,sale,"gls elitaire prime, sector 81 gurgaon",,Possession by Dec '25,,,205 sqft,,,,,Ground out of 2,,Unfurnished,,,,Dec '25,,,,,,,9230000.0,205.0,sector 81 gurgaon,28.3873647,76.9475835
Super Area,office space,sale,"bhutani cyberthum, sector 140a noida",697 sqft,Ready to Move,,,,5,,,Garden/Park,14 out of 48,,,,,East,,,,,,,,6800000.0,697.0,sector 140a noida,28.5097759,77.4211609
Carpet Area,office space,sale,"wave mall , sector 18, noida sector 18 metro noida",,Ready to Move,,,200 sqft,,,Dry Pantry/Cafeteria,,2 out of 2,,Furnished,,,East,,,,,,,,6000000.0,200.0,noida sector 18 metro noida,28.5705631,77.3266184
Super Area,shop,sale,"assotech business cresterra, sector 135, noida express way noida",220 sqft,Ready to Move,,,,,,,,Ground out of 1,,Furnished,,,,,,,,,,,6000000.0,220.0,noida express way noida,28.5706333,77.3272147
Super Area,industrial shed,sale,mg road industrial area upsidc ghaziabad,660 sqm,Ready to Move,Less than 5 years old,,,,,,,,,,,,,,,,,,,,10000000.0,7104.17,mg road industrial area upsidc ghaziabad,28.7749966,77.4586967
Super Area,warehouse/ godown,sale,dwarka new delhi,155 sqyrd,,,Commercial,,,,,,Ground out of 4,,,,,,,,2.0,,,,,30000000.0,1395.0,dwarka new delhi,28.574272,77.0653316
Super Area,office space,sale,karol bagh new delhi,300 sqft,Ready to Move,,,,1,,Dry Pantry/Cafeteria,Main Road,3 out of 4,,,,,,,,,,,,,4500000.0,300.0,karol bagh new delhi,28.6627515,77.1852561
Carpet Area,office space,sale,sector 2 noida,,Ready to Move,,,850 sqm,7,10 Open,Wet Pantry/Cafeteria,,,,,,,East,,,,,,,,145000000.0,9149.32,sector 2 noida,28.5850799,77.3152624
Plot Area,land,sale,jalpura greater noida,,,,,,,,,,,,,1010 sqft,,,,,,,,,,3500000.0,1010.0,jalpura greater noida,28.5706333,77.3272147
Super Area,shop,sale,"gaur yamuna city, yamuna expressway greater noida",241 sqft,Ready to Move,,,,,,,,2 out of 18,,Unfurnished,,,,,,,,,,,6500000.0,241.0,yamuna expressway greater noida,28.406404,77.520785
Super Area,office space,sale,shalimar garden ghaziabad,1050 sqft,Ready to Move,,,,2,,,,2 out of 4,,Semi-Furnished,,,,,,,,,,,12500000.0,1050.0,shalimar garden ghaziabad,28.6880824,77.3438878
Super Area,showroom,sale,lajpat nagar new delhi,500 sqft,,,,,,,,,,,Unfurnished,,,,,,,,,,,200000000.0,500.0,lajpat nagar new delhi,28.5607042,77.2536026
Carpet Area,shop,sale,madhu vihar patparganj new delhi,,Ready to Move,Above 20 years old,,100 sqft,,,,,Ground out of 3,900 ft wide,Furnished,,,,,,,,,,,19000000.0,100.0,madhu vihar patparganj new delhi,28.6328027,77.2197713
Carpet Area,shop,sale,"gygy mentis, sector 140 noida",,Possession by Jun '26,,Commercial,391 sqft,,,,,Ground out of 20,,Unfurnished,,,,Jun '26,,,,,,,10000000.0,391.0,sector 140 noida,28.5705399,77.3228931
Carpet Area,office space,sale,"m3m corner walk, sector 74, delhi gurgaon expressway gurgaon",,Ready to Move,,,478 sqft,1,,,Main Road,11 out of 11,,Bareshell,,,,,,,,,,,17500000.0,478.0,delhi gurgaon expressway gurgaon,28.4831817,76.9873663
Super Area,shop,sale,"jaipuria sunrise enclave, ram nagar kaushambi ghaziabad",264 sqft,Ready to Move,5 to 10 years old,,,,,,,Upper Basement out of 1,12 ft wide,Unfurnished,,,,,,,,,,,3500000.0,264.0,ram nagar kaushambi ghaziabad,28.7749966,77.4586967
Carpet Area,shop,sale,"sapphire ninety, sector 90 gurgaon",,Ready to Move,Less than 5 years old,,260 sqft,,,,,1 out of 2,,Semi-Furnished,,,,,,,,,,,12000000.0,260.0,sector 90 gurgaon,28.4069974,76.9365562
Carpet Area,office space,sale,narela new delhi,,Ready to Move,5 to 10 years old,,235 sqft,2,,,,2 out of 3,,Bareshell,,,,,,,,,,,1400000.0,235.0,narela new delhi,28.6328027,77.2197713
Carpet Area,office space,sale,"imperia h2o, knowledge park 5 greater noida",,Ready to Move,Less than 5 years old,,150 sqft,,,,,6 out of 10,,Bareshell,,,,,,,,,,,790000.0,150.0,knowledge park 5 greater noida,28.478588,77.4813689
Plot Area,land,sale,block e sector 85 faridabad,,,,,,,,,,,,,1800 sqft,,East,,,,,,,,33500000.0,1800.0,block e sector 85 faridabad,28.4031478,77.3105561
Super Area,office space,sale,"sector 93, noida express way noida",165 sqft,Ready to Move,,,,1,,,,2 out of 25,,Bareshell,,,,,,,,,,,5500000.0,165.0,noida express way noida,28.5706333,77.3272147
