area_type,prop_type,transaction,location,Super Area,Status,Property Age,Zoning,Carpet Area,Washroom,Parking,Pantry,Overlooking,Floor,Entrance,Furnishing Status,Plot Area,Plot (L X B),Facing,Available From,Width of Road,Open Sides,ParkingRatio,Water Availability,Hospital,Seats,price_std,area_std,location_cleaned,latitude,longitude
Super Area,industrial building,sale,sector 4 noida,4400 sqft,Ready to Move,5 to 10 years old,Industrial,,,,,,,,,,,,,,,,,,,88500000.0,4400.0,sector 4 noida,28.5836826,77.3229658
Carpet Area,office space,sale,"wave silver tower, sector 18, noida sector 18 metro noida",,Ready to Move,,,662 sqft,2,2 Open,Wet Pantry/Cafeteria,Main Road,,,,,,,,,,,,,,13500000.0,662.0,noida sector 18 metro noida,28.5705631,77.3266184
Carpet Area,shop,sale,"devika vibe, sector 110, dadri road noida",,Ready to Move,New Construction,,184 sqft,,,,,Ground out of 1,20 ft wide,Unfurnished,,,,,,,,,,,17400000.0,184.0,dadri road noida,28.5566273,77.3257596
Plot Area,industrial land,sale,"badli industrial area, rohini new delhi",,,,,,,,,,,,,4725 sqft,,,,,,,,,,85000000.0,4725.0,rohini new delhi,28.719436,77.0672351
Super Area,industrial building,sale,block b sector 4 noida,8000 sqft,Ready to Move,5 to 10 years old,Industrial,,,,,,,,,,,,,,,,,,,750000000.0,8000.0,block b sector 4 noida,28.4707522,77.5319152
Super Area,office space,sale,"grandthum by group 108, noida extension greater noida",1107 sqft,Possession by Jun '26,,,,4,,Dry Pantry/Cafeteria,Pool,12 out of 32,,,,,,,,,,,,,6090000.0,1107.0,noida extension greater noida,28.5706333,77.3272147
Carpet Area,shop,sale,"jmd galleria, sohna gurgaon",,Ready to Move,10 to 15 years old,,510 sqft,,,,,1 out of 6,15 ft wide,Unfurnished,,,,,,,,,,,9000000.0,510.0,sohna gurgaon,28.3241636,77.0848644
Plot Area,land,sale,"sector 143, noida express way noida",,,,Commercial,,,,,,,,,3150 sqft,19.8 X 159,North - East,,,,,,,,70000000.0,3150.0,noida express way noida,28.5706333,77.3272147
Carpet Area,office in it park/ sez,sale,"assotech business cresterra, sector 135, noida express way noida",,Ready to Move,,,600 sqft,2,1 Covered,Dry Pantry/Cafeteria,,,,,,,East,,,,,,,,10000000.0,600.0,noida express way noida,28.5706333,77.3272147
Carpet Area,office space,sale,"vipul business park, sector 48 gurgaon",,Ready to Move,,,800 sqft,9,6 Open,Wet Pantry/Cafeteria,,,,,,,East,,,,,,,,10000000.0,800.0,sector 48 gurgaon,28.4104903,77.0394627
Plot Area,land,sale,"sector 151, noida express way noida",,,,,,,,,,,,,4306 sqft,98.4 X 43.7,North - East,,,,,,,,10200000.0,4306.0,noida express way noida,28.5706333,77.3272147
Carpet Area,office space,sale,"spaze i tech park, ghasola, sector 49 gurgaon",,Ready to Move,,,1200 sqft,6,2 Covered,Wet Pantry/Cafeteria,,,,,,,East,,,,,,,,8800000.0,1200.0,sector 49 gurgaon,28.4128851,77.0498362
Carpet Area,shop,sale,splendor onyx noida,,Possession by Jun '27,,,200 sqft,,,,,1 out of 19,,Semi-Furnished,,,North - East,Jun '27,,,,,,,900000.0,200.0,splendor onyx noida,28.5706333,77.3272147
Super Area,industrial building,sale,b block sector 63 noida,1000 sqm,Ready to Move,Less than 5 years old,Industrial,,,,,,,,,,,,,,,,,,,185000000.0,10763.9,b block sector 63 noida,28.6197533,77.3703883
Carpet Area,office space,sale,"dlf prime towers, okhla phase 1 new delhi",,Ready to Move,,,3200 sqft,2,2 Open,Wet Pantry/Cafeteria,,4 out of 8,,,,,,,,,,,,,44500000.0,3200.0,okhla phase 1 new delhi,28.5470861,77.3135343
Carpet Area,shop,sale,nai walan new delhi,,Ready to Move,New Construction,,1700 sqft,,,,,Ground out of 5,8 ft wide,Unfurnished,,,,,,,,,,,75000000.0,1700.0,nai walan new delhi,28.6328027,77.2197713
Super Area,shop,sale,tigaon faridabad,360 sqft,Ready to Move,,,,,,,,Ground out of 2,,Semi-Furnished,,,,,,,,,,,3000000.0,360.0,tigaon faridabad,28.3508902,77.3965287
Carpet Area,shop,sale,laxmi nagar new delhi,,Ready to Move,Less than 5 years old,,80 sqft,,,,,Ground out of 4,,Unfurnished,,,,,,,,,,,2600000.0,80.0,laxmi nagar new delhi,28.576794,77.2062778
Plot Area,land,sale,chander vihar nilothi new delhi,,,,,,,,,,,,,625 sqft,,,,,,,,,,130000.0,625.0,chander vihar nilothi new delhi,28.6328027,77.2197713
Plot Area,land,sale,old palam road new delhi,,,,,,,,,,,,,1197 sqft,,,,,,,,,,34000000.0,1197.0,old palam road new delhi,28.5777707,77.1036096
Super Area,office space,sale,"taj expressway, greater noida west noida",440 sqft,Ready to Move,New Construction,,,,,Wet Pantry/Cafeteria,,2 out of 2,,Bareshell,,,,,,,,,,,3000000.0,440.0,greater noida west noida,28.5642539,77.4739447
Super Area,industrial shed,sale,"sector 158, noida express way noida",450 sqm,Ready to Move,5 to 10 years old,Industrial,,,,,,,,,,,,,24 mts,1.0,,,,,67500000.0,4843.76,noida express way noida,28.5706333,77.3272147
Super Area,office space,sale,phase 1 udyog vihar gurgaon,400,Ready to Move,,,,> 10,600 Covered,Wet Pantry/Cafeteria,Garden/Park,,,,,,,,,,,,,,3500000000.0,400000.0,phase 1 udyog vihar gurgaon,28.5048174,77.0839702
Super Area,industrial building,sale,sector 63 noida,10,Ready to Move,Less than 5 years old,,,,,,,,,,,,,,,,,,,,75000000.0,10000.0,sector 63 noida,28.620768,77.381494
Super Area,office space,sale,"manish global mall, sector 22 dwarka new delhi",168 sqft,Ready to Move,,,,,,,Main Road,1 out of 4,,Bareshell,,,East,,,,,,,,4500000.0,168.0,sector 22 dwarka new delhi,28.5579591,77.0580701
Plot Area,industrial land,sale,phase 5 udyog vihar gurgaon,,,,,,,,,,,,,3402 sqft,40 X 85,,,,,,,,,120000000.0,3402.0,phase 5 udyog vihar gurgaon,28.5048174,77.0839702
Super Area,shop,sale,"aipl joy central, sector 65 gurgaon",535 sqft,Ready to Move,Less than 5 years old,,,,,,,2 out of 22,,Furnished,,,,,,,,,,,10000000.0,535.0,sector 65 gurgaon,28.4030162,77.0695893
Super Area,shop,sale,sector 43 gurgaon,200 sqft,Ready to Move,,,,,,,,Ground out of 1,,,,,,,,,,,,,5500000.0,200.0,sector 43 gurgaon,28.4548735,77.0858864
Carpet Area,office space,sale,"m3m urbana premium, sector 67 gurgaon",,Ready to Move,New Construction,,210 sqft,1,,,,11 out of 12,,Bareshell,,,,,,,,,,,3400000.0,210.0,sector 67 gurgaon,28.3864052,77.0598046
Carpet Area,shop,sale,"advitya homes, sector 143 faridabad",,Ready to Move,New Construction,,187 sqft,,,,,1 out of 3,11 ft wide,Unfurnished,,,,,,,,,,,5600000.0,187.0,sector 143 faridabad,28.3209245,77.2981096
Plot Area,land,sale,"sector 73, delhi gurgaon expressway gurgaon",,,,Commercial,,,,,,,,,9000 sqft,105 X 85.7,South - East,,,,,,,,300000000.0,9000.0,delhi gurgaon expressway gurgaon,28.4831817,76.9873663
Carpet Area,office space,sale,mehrauli gurgaon road gurgaon,,Ready to Move,,,720 sqft,2,2 Covered,Wet Pantry/Cafeteria,Garden/Park,,,,,,,,,,,,,,15300000.0,720.0,mehrauli gurgaon road gurgaon,28.4657505,77.0393358
Plot Area,land,sale,khandsa road gurgaon,,,,,,,,,,,,,2007 sqft,,,,,,,,,,55000000.0,2007.0,khandsa road gurgaon,28.4533282,77.0195396
Super Area,office space,sale,"sector 125, noida express way noida",120 sqft,,,,,3,,,,31 out of 50,,,,,,,,,,,,,1800000.0,120.0,noida express way noida,28.5706333,77.3272147
Super Area,office space,sale,sector 56 gurgaon,470 sqft,Ready to Move,,,,3,,,,1 out of 2,,Bareshell,,,,,,,,,,,11000000.0,470.0,sector 56 gurgaon,28.4253232,77.0985157
Super Area,shop,sale,sector 14 gurgaon,68 sqft,Ready to Move,,,,,,,,Ground out of 3,,Furnished,,,,,,,,,,,3500000.0,68.0,sector 14 gurgaon,28.473784,77.0471827
Super Area,shop,sale,"spectrum metro, sector 75 noida",240 sqft,Ready to Move,New Construction,,,,,,,Lower Basement out of 7,,Unfurnished,,,,,,,,,,,6000000.0,240.0,sector 75 noida,28.4716932,77.5313411
Plot Area,land,sale,najafgarh new delhi,,,,,,,,,,,,,1320 sqft,,,,,,,,,,93500000.0,1320.0,najafgarh new delhi,28.6059739,77.0479506
Super Area,shop,sale,"spectrum metro phase 2, sector 75 noida",400 sqft,Ready to Move,,,,,,,,Upper Basement out of 5,,Unfurnished,,,East,,,,999:1000 sqft,,,,12200000.0,400.0,sector 75 noida,28.4716932,77.5313411
Carpet Area,shop,sale,block 1 sector alpha 2 greater noida,,Ready to Move,New Construction,,150 sqft,,,,,Ground out of 12,12 ft wide,Unfurnished,,,,,,,,,,,9500000.0,150.0,block 1 sector alpha 2 greater noida,28.5706333,77.3272147
Super Area,shop,sale,"ameya sapphire 93, sector 93 gurgaon",520 sqft,Possession by Oct '25,,,,,,,,2 out of 4,,Unfurnished,,,,Oct '25,,,,,,,18200000.0,520.0,sector 93 gurgaon,28.4156048,76.931638
Super Area,office space,sale,daryaganj new delhi,500 sqft,Ready to Move,,,,1,,,,2 out of 3,,Furnished,,,,,,,,,,,6000000.0,500.0,daryaganj new delhi,28.6301065,77.2174139
Super Area,office space,sale,shakarpur new delhi,150 sqft,Ready to Move,,,,1,,,,2 out of 4,,Bareshell,,,,,,,,,,,2500000.0,150.0,shakarpur new delhi,28.63739,77.270725
Carpet Area,shop,sale,"gaur city center, noida extension greater noida",,Ready to Move,New Construction,,80 sqft,,,,,2 out of 18,7 ft wide,Furnished,,,,,,,,,,,3500000.0,80.0,noida extension greater noida,28.5706333,77.3272147
Super Area,office space,sale,boleward walk greater noida,916 sqft,Ready to Move,,,,8,,,,22 out of 35,,Bareshell,,,,,,,,,,,12500000.0,916.0,boleward walk greater noida,28.5706333,77.3272147
Carpet Area,showroom,sale,"omaxe connaught place, beta 2 greater noida",,Ready to Move,Less than 5 years old,,590 sqft,,,,,Ground out of 3,25 ft wide,Unfurnished,,,,,,,,,,,7600000.0,590.0,beta 2 greater noida,28.4848659,77.5134595
Carpet Area,office space,sale,sector 58 gurgaon,,Ready to Move,,,600 sqft,1,1 Covered,Dry Pantry/Cafeteria,,,,,,,East,,,,,,,,18000000.0,600.0,sector 58 gurgaon,28.4160012,77.1085564
Carpet Area,shop,sale,sector 89 faridabad,,Ready to Move,New Construction,,312 sqft,,,,,Ground out of 1,11 ft wide,Unfurnished,,,,,,,,,,,10000000.0,312.0,sector 89 faridabad,28.4210246,77.3667617
Carpet Area,office space,sale,"dlf galeria, mayur vihar 1 new delhi",,Ready to Move,,,630 sqft,1,,Wet Pantry/Cafeteria,Garden/Park,2 out of 3,,,,,,,,,,,,,9500000.0,630.0,mayur vihar 1 new delhi,28.6328027,77.2197713
Carpet Area,office space,sale,sarojini nagar new delhi,,Ready to Move,,,4500 sqft,3,3 Covered,Wet Pantry/Cafeteria,Main Road,,,,,,,,,,,,,,385000000.0,4500.0,sarojini nagar new delhi,28.575817,77.1980786
Carpet Area,shop,sale,"kw delhi 6, raj nagar extension ghaziabad",,Ready to Move,New Construction,,25 sqft,,,,,3 out of 6,,Semi-Furnished,,,North - East,,,,,,,,2700000.0,25.0,raj nagar extension ghaziabad,28.685628,77.400277
Plot Area,industrial land,sale,mandoli new delhi,,,,,,,,,,,,,1800 sqft,,,,,,,,,,20000000.0,1800.0,mandoli new delhi,28.5033155,77.1787621
Super Area,industrial building,sale,block a phase 2 noida noida,415 sqm,Ready to Move,Less than 5 years old,,,,,,,,,,,,,,,,,,,,70000000.0,4467.02,block a phase 2 noida noida,28.5911591,77.3525353
Super Area,shop,sale,"crc the flagship, sector 140a noida",1540 sqft,Possession by Nov '27,,,,,,,,,,Unfurnished,,,,Nov '27,,,,,,,43099999.0,1540.0,sector 140a noida,28.5097759,77.4211609
Carpet Area,shop,sale,"dda pocket c, gtb enclave new delhi",,Ready to Move,New Construction,,216 sqft,,,,,Ground out of 2,,Furnished,,,,,,,,,,,9000000.0,216.0,gtb enclave new delhi,28.6328027,77.2197713
Super Area,office space,sale,bahadur shah zafar marg new delhi,385 sqft,Ready to Move,Above 20 years old,,,1,,,,2 out of 2,,,,,,,,,,,,,7700000.0,385.0,bahadur shah zafar marg new delhi,28.6261651,77.2409053
Carpet Area,shop,sale,akd tower sector 14 gurgaon gurgaon,,Ready to Move,5 to 10 years old,,200 sqft,,,,,2 out of 3,,Furnished,,,,,,,,,,,7000000.0,200.0,akd tower sector 14 gurgaon gurgaon,28.4646148,77.0299194
Super Area,office space,sale,sector 20 dwarka new delhi,312 sqft,Ready to Move,,,,1,20 Open,,,,,Semi-Furnished,,,,,,,,,,,6859999.0,312.0,sector 20 dwarka new delhi,28.5592725,77.0666248
Plot Area,industrial land,sale,manesar gurgaon,,,,,,,,,,,,,4844 sqft,328 X 14.8,,,,,,,,,76500000.0,4844.0,manesar gurgaon,28.3247096,76.9263787
Plot Area,industrial land,sale,sector 57 faridabad,,,,,,,,,,,,,5580 sqft,,,,,,,,,,28000000.0,5580.0,sector 57 faridabad,28.3209245,77.2981096
Super Area,office space,sale,faridabad noida ghaziabad expressway noida,500 sqft,Ready to Move,,,,5,,,Garden/Park,5 out of 14,,Bareshell,,,,,,,,,,,2500000.0,500.0,faridabad noida ghaziabad expressway noida,28.5948142,77.40632
Carpet Area,shop,sale,vishnu garden new delhi,,Ready to Move,15 to 20 years old,,80 sqft,,,,,Ground out of 2,7 ft wide,Furnished,,,,,,,,,,,4200000.0,80.0,vishnu garden new delhi,28.6328027,77.2197713
Super Area,shop,sale,"m3m paragon 57, sector 57 gurgaon",2000 sqft,Possession by Aug '26,,,,,,,,,,Unfurnished,,,,Aug '26,,,,,,,83300000.0,2000.0,sector 57 gurgaon,28.4232478,77.0804487
Super Area,shop,sale,sector 86 gurgaon,382 sqft,Ready to Move,,,,,,,,Ground out of 1,,Unfurnished,,,,,,,,,,,15000000.0,382.0,sector 86 gurgaon,28.3981205,76.9411257
Carpet Area,shop,sale,bptp district walk d sec 84 faridabad,,Possession by Jun '27,,,450 sqft,,,,,2 out of 2,,Unfurnished,,,East,Jun '27,,,,,,,7000000.0,450.0,bptp district walk d sec 84 faridabad,28.4031478,77.3105561
Super Area,shop,sale,sector 15 gurgaon,100 sqft,Ready to Move,,,,,,,,Ground out of 2,,Semi-Furnished,,,,,,,,,,,11000000.0,100.0,sector 15 gurgaon,28.3843199,76.9122326
Super Area,shop,sale,"trehan iris broadway, sector 85 gurgaon",506 sqft,,Less than 5 years old,,,,,,,,,Unfurnished,,,,,,,,,,,9000000.0,506.0,sector 85 gurgaon,28.403652,76.9531428
Super Area,shop,sale,"dabri extension, dabri new delhi",165 sqft,Ready to Move,,,,,,,,Ground out of 5,,Furnished,,,,,,,,,,,3500000.0,165.0,dabri new delhi,28.6098834,77.0822918
Super Area,office space,sale,"sadhna enclave, panchsheel park new delhi",2400 sqft,Ready to Move,15 to 20 years old,,,,,,,1 out of 4,,,,,,,,,,,,,55000000.0,2400.0,panchsheel park new delhi,28.5439937,77.2102581
Super Area,shop,sale,khan market new delhi,200 sqft,Ready to Move,,,,,,,,Ground out of 1,,,,,,,,,,,,,40000000.0,200.0,khan market new delhi,28.5995141,77.2259785
Super Area,office space,sale,dilshad garden new delhi,780 sqft,Ready to Move,5 to 10 years old,,,,,,,Ground out of 1,,Bareshell,,,,,,,,,,,42000000.0,780.0,dilshad garden new delhi,28.6328027,77.2197713
Carpet Area,shop,sale,vikaspuri new delhi,,Ready to Move,Above 20 years old,,1350 sqft,,,,,1 out of 4,,Furnished,,,,,,,,,,,17000000.0,1350.0,vikaspuri new delhi,28.6379544,77.0713693
Super Area,office space,sale,rdc ghaziabad,495 sqft,Ready to Move,,,,,,,,Ground out of 5,,Semi-Furnished,,,,,,,,,,,3000000.0,495.0,rdc ghaziabad,28.6749145,77.4414553
Super Area,shop,sale,"antriksh forest, sector 77 noida",723 sqft,Ready to Move,Less than 5 years old,Commercial,,,,,,1 out of 2,,Unfurnished,,,,,,,,,,,18000000.0,723.0,sector 77 noida,28.4711991,77.5307605
Carpet Area,shop,sale,"solitairian city centre, knowledge park 3 greater noida",,Possession by Dec '25,,,792 sqft,,,,,4 out of 8,,Unfurnished,,,North,Dec '25,,,,,,,10300000.0,792.0,knowledge park 3 greater noida,28.478588,77.4813689
Super Area,showroom,sale,rohtak road new delhi,18,Ready to Move,5 to 10 years old,,,,,,,5 out of 5,,,,,,,,,,,,,180000000.0,18000.0,rohtak road new delhi,28.6560982,77.197362
Super Area,office space,sale,rohtak road new delhi,337 sqft,Ready to Move,5 to 10 years old,,,1,,,,1 out of 4,,,,,,,,,,,,,2000000.0,337.0,rohtak road new delhi,28.6560982,77.197362
Plot Area,land,sale,"pooth kalan, rohini new delhi",,,,,,,,,,,,,4500 sqft,,,,,,,,,,100000000.0,4500.0,rohini new delhi,28.719436,77.0672351
Super Area,shop,sale,"family hub, national highway 24 ghaziabad",544 sqft,Possession by Sep '25,,,,,,,,3 out of 4,,Unfurnished,,,North - East,Sep '25,,,,,,,7200000.0,544.0,national highway 24 ghaziabad,28.6323996,77.3708728
Super Area,shop,sale,sector 14 rohini new delhi,200 sqft,Ready to Move,,,,,,,,Ground out of 2,,Furnished,,,,,,,,,,,13500000.0,200.0,sector 14 rohini new delhi,28.6328027,77.2197713
Carpet Area,shop,sale,"katra neel, chandni chowk new delhi",,Ready to Move,15 to 20 years old,,200 sqft,,,,,2 out of 3,8 ft wide,Furnished,,,,,,,,,,,4500000.0,200.0,chandni chowk new delhi,28.6328027,77.2197713
Super Area,warehouse/ godown,sale,main mathura roax faridabad,20,Ready to Move,,,,,,,,Ground out of 1,,Unfurnished,,,,,,,,,,,200000.0,20000.0,main mathura roax faridabad,28.4031478,77.3105561
Carpet Area,shop,sale,"karkardooma, anand vihar new delhi",,Ready to Move,5 to 10 years old,,81 sqft,,,,,Ground out of 1,,Furnished,,,South,,,,,,,,7500000.0,81.0,anand vihar new delhi,28.5786334,77.1612059
Plot Area,industrial land,sale,dadha greater noida,,,,,,,,,,,,,21500 sqft,,,,,,,,,,23900000.0,21500.0,dadha greater noida,28.5706333,77.3272147
Super Area,shop,sale,greater noida west link road greater noida,250 sqft,Ready to Move,Less than 5 years old,Commercial,,,,,,Lower Basement out of 5,,Furnished,,,,,,,,,,,5500000.0,250.0,greater noida west link road greater noida,28.5642539,77.4739447
Super Area,shop,sale,raj nagar extension ghaziabad,463 sqft,Ready to Move,,,,,,,,Ground out of 8,,Unfurnished,,,,,,,,,,,13000000.0,463.0,raj nagar extension ghaziabad,28.685628,77.400277
Carpet Area,showroom,sale,block a sushant lok phase 1 gurgaon,,Ready to Move,Less than 5 years old,,1047 sqft,,,,,Ground out of 4,,Furnished,,,,,,,,24 Hours Available,,,89200000.0,1047.0,block a sushant lok phase 1 gurgaon,28.4646148,77.0299194
Super Area,showroom,sale,"sector 19, mathura road faridabad",2100 sqft,Ready to Move,,,,,,,,Ground out of 3,,Unfurnished,,,,,,,,,,,25000000.0,2100.0,mathura road faridabad,28.3650553,77.314851
Super Area,office space,sale,"wave one, sector 18, noida sector 18 metro noida",546 sqft,Ready to Move,,,,1,1 Covered,Dry Pantry/Cafeteria,Main Road,,,,,,,,,,,,,,9830000.0,546.0,noida sector 18 metro noida,28.5705631,77.3266184
Super Area,shop,sale,"ss omnia, sector 86 gurgaon",279 sqft,Ready to Move,5 to 10 years old,Commercial,,,,,,1 out of 3,,Furnished,,,,,,,,,,,3800000.0,279.0,sector 86 gurgaon,28.3981205,76.9411257
Super Area,office space,sale,block d chittaranjan park new delhi,1100 sqft,Ready to Move,,,,2,,,,Ground out of 3,,Furnished,,,,,,,,,,,12500000.0,1100.0,block d chittaranjan park new delhi,28.6328027,77.2197713
Super Area,office space,sale,laxmi nagar new delhi,300 sqft,Ready to Move,10 to 15 years old,,,1,,,,3 out of 5,,Furnished,,,,,,,,,,,3600000.0,300.0,laxmi nagar new delhi,28.576794,77.2062778
Carpet Area,shop,sale,sector 46 south city 2 gurgaon,,Ready to Move,15 to 20 years old,,187 sqft,,,,,1 out of 1,,Furnished,,,,,,,,24 Hours Available,,,10000000.0,187.0,sector 46 south city 2 gurgaon,28.4646148,77.0299194
Carpet Area,office space,sale,"bhutani city center 32, sector 32, noida city centre metro noida",,Ready to Move,,,405 sqft,2,1 Covered,,Main Road,,,,,,East,,,,,,,,10100000.0,405.0,noida city centre metro noida,28.5752716,77.3561487
Super Area,office space,sale,sector 71 gurgaon,632 sqft,Ready to Move,,,,,,,,15 out of 18,,Bareshell,,,,,,,,,,,40000000.0,632.0,sector 71 gurgaon,28.4064564,77.0233125
Plot Area,industrial land,sale,manesar gurgaon,,,,,,,,,,,,,43560 sqft,,,,,,,,,,140000000.0,43560.0,manesar gurgaon,28.3247096,76.9263787
Carpet Area,office space,sale,"sector 104, noida express way noida",,Ready to Move,,,30 sqft,1,,,,43 out of 45,,Bareshell,,,,,,,,,,,2500000.0,30.0,noida express way noida,28.5706333,77.3272147
Super Area,showroom,sale,hauz khas new delhi,1400 sqft,Ready to Move,5 to 10 years old,,,,,,,Ground out of 3,,,,,,,,,,,,,62500000.0,1400.0,hauz khas new delhi,28.544997,77.1891506
Super Area,office space,sale,hauz khas new delhi,1496 sqft,Ready to Move,,,,1,,,,3 out of 3,,,,,,,,,,,,,44000000.0,1496.0,hauz khas new delhi,28.544997,77.1891506
Super Area,office space,sale,phase 2 udyog vihar gurgaon,190,Ready to Move,Less than 5 years old,,,10,,,,Ground out of 11,,,,,,,,,,,,,1400000000.0,190000.0,phase 2 udyog vihar gurgaon,28.5048174,77.0839702
Super Area,industrial building,sale,phase 2 udyog vihar gurgaon,180,Ready to Move,Less than 5 years old,,,,,,,,,,,,,,,,,,,,1350000000.0,180000.0,phase 2 udyog vihar gurgaon,28.5048174,77.0839702
Super Area,office space,sale,phase 2 udyog vihar gurgaon,32,Ready to Move,New Construction,,,7,,,,5 out of 5,,,,,,,,,,,,,250000000.0,32000.0,phase 2 udyog vihar gurgaon,28.5048174,77.0839702
Super Area,industrial building,sale,phase 2 udyog vihar gurgaon,22,Ready to Move,5 to 10 years old,,,,,,,,,,,,,,,,,,,,90000000.0,22000.0,phase 2 udyog vihar gurgaon,28.5048174,77.0839702
Plot Area,industrial land,sale,phase 2 udyog vihar gurgaon,,,,,,,,,,,,,5400 sqft,,,,,,,,,,42500000.0,5400.0,phase 2 udyog vihar gurgaon,28.5048174,77.0839702
Carpet Area,office space,sale,"m3m urbana premium, sector 67 gurgaon",,Ready to Move,,,785 sqft,2,1 Covered,Wet Pantry/Cafeteria,Main Road,,,,,,,,,,,,,,11399999.0,785.0,sector 67 gurgaon,28.3864052,77.0598046
Carpet Area,shop,sale,"baraula, sector 49, dadri road noida",,Ready to Move,5 to 10 years old,,4500 sqft,,,,,2 out of 5,,Semi-Furnished,,,North,,,,,,,,28700000.0,4500.0,dadri road noida,28.5566273,77.3257596
Super Area,shop,sale,kashmere gate new delhi,100 sqft,Ready to Move,,,,,,,,1 out of 3,,Semi-Furnished,,,,,,,,,,,2200000.0,100.0,kashmere gate new delhi,28.6328027,77.2197713
Carpet Area,shop,sale,"sector 74, delhi gurgaon expressway gurgaon",,Ready to Move,Less than 5 years old,,450 sqft,,,,,1 out of 3,,Semi-Furnished,,,,,,,,,,,24500000.0,450.0,delhi gurgaon expressway gurgaon,28.4831817,76.9873663
Super Area,shop,sale,ramprastha colony ghaziabad,245 sqft,Ready to Move,5 to 10 years old,,,,,,,Upper Basement out of 1,,Unfurnished,,,,,,,,24 Hours Available,,,5500000.0,245.0,ramprastha colony ghaziabad,28.6585158,77.3236527
Super Area,shop,sale,sector 140a noida,250 sqft,,,,,,,,,Ground out of 25,,Unfurnished,,,,,,,,,,,8000000.0,250.0,sector 140a noida,28.5097759,77.4211609
Super Area,showroom,sale,"sector 62, nh 24 noida",350 sqft,,,,,,,,,1 out of 6,,Semi-Furnished,,,,,,,,,,,9500000.0,350.0,nh 24 noida,28.5706333,77.3272147
Super Area,shop,sale,"sgm nagar, badkhal road faridabad",45 sqyrd,Ready to Move,,,,,1 Covered,,,Ground out of 1,,Furnished,,,North,,,,,,,,5400000.0,405.0,badkhal road faridabad,28.4128345,77.2889358
Carpet Area,shop,sale,"sapphire ninety, sector 90 gurgaon",,Ready to Move,Less than 5 years old,,80 sqft,,,,,Ground out of 5,,Furnished,,,,,,,,24 Hours Available,,,4600000.0,80.0,sector 90 gurgaon,28.4069974,76.9365562
Plot Area,land,sale,dlf garden city central gurgaon,,,,Commercial,,,,,,,,,1008 sqft,56 X 18,North,,,,,,,,56000000.0,1008.0,dlf garden city central gurgaon,28.4646148,77.0299194
Plot Area,land,sale,niti khand 1 ghaziabad,,,,Residential,,,,,,,,,2592 sqft,,North,,,,,,,,75000000.0,2592.0,niti khand 1 ghaziabad,28.7749966,77.4586967
Carpet Area,shop,sale,"bhutani cyberthum, sector 140a noida",,Possession by May '26,,,250 sqft,,,,,Ground out of 25,,Furnished,,,,May '26,,,,,,,8000000.0,250.0,sector 140a noida,28.5097759,77.4211609
Super Area,showroom,sale,khan market new delhi,1700 sqft,Ready to Move,Above 20 years old,,,,,,,1 out of 2,,,,,,,,,,,,,220000000.0,1700.0,khan market new delhi,28.5995141,77.2259785
Super Area,office space,sale,"sector 74a, delhi gurgaon expressway gurgaon",1621 sqft,Ready to Move,,,,2,,,,5 out of 9,,,,,,,,,,,,,8259999.0,1621.0,delhi gurgaon expressway gurgaon,28.4831817,76.9873663
Super Area,office space,sale,"sector 74a, delhi gurgaon expressway gurgaon",1639 sqft,Ready to Move,,,,1,,,,21 out of 23,,,,,,,,,,,,,11000000.0,1639.0,delhi gurgaon expressway gurgaon,28.4831817,76.9873663
Super Area,office space,sale,"sector 74a, delhi gurgaon expressway gurgaon",1800 sqft,Ready to Move,New Construction,,,,,,,11 out of 15,,,,,,,,,,,,,12000000.0,1800.0,delhi gurgaon expressway gurgaon,28.4831817,76.9873663
Super Area,industrial shed,sale,sector 138 noida,7000 sqft,Ready to Move,,,,,,,,,,,,,,,,,,,,,65000000.0,7000.0,sector 138 noida,28.5156257,77.4166209
Super Area,shop,sale,mehrauli new delhi,23 sqyrd,Ready to Move,,,,,,,,Ground out of 3,,Semi-Furnished,,,,,,,,,,,6000000.0,207.0,mehrauli new delhi,28.5177553,77.1714281
Super Area,office space,sale,"vipul trade centre, sector 48 gurgaon",1454 sqft,Ready to Move,,,,4,,Dry Pantry/Cafeteria,Main Road,3 out of 6,,,,,,,,,,,,,18000000.0,1454.0,sector 48 gurgaon,28.4104903,77.0394627
Super Area,office space,sale,ashok nagar new delhi,900 sqft,Ready to Move,,,,3,,,,1 out of 5,,Bareshell,,,,,,,,,,,9800000.0,900.0,ashok nagar new delhi,28.5890885,77.3015085
Super Area,office space,sale,noida extension noida,297 sqft,Ready to Move,New Construction,,,1,,,,10 out of 15,,Semi-Furnished,,,,,,,,,,,2150000.0,297.0,noida extension noida,28.5706333,77.3272147
Carpet Area,shop,sale,"omaxe connaught place, beta 2 greater noida",,Ready to Move,5 to 10 years old,,740 sqft,,,,,1 out of 14,15 ft wide,Semi-Furnished,,,,,,,,,,,10000000.0,740.0,beta 2 greater noida,28.4848659,77.5134595
Super Area,industrial building,sale,badkhal pali road faridabad,495 sqyrd,Ready to Move,,,,,,,,,,,,,,,,,,,,,8500000.0,4455.0,badkhal pali road faridabad,28.4031478,77.3105561
Super Area,shop,sale,"gaur city center, gaur city 1 greater noida",141 sqft,Ready to Move,Less than 5 years old,,,,,,,1 out of 20,,Unfurnished,,,,,,,,,,,2800000.0,141.0,gaur city 1 greater noida,28.4670734,77.5137649
